cycles,instructions,branches,branch_misses,comm,dso,symbol
17453056,0,1674138,130629,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_erase"
17453013,9701971,4117193,27983,"g4run","libG4clhep.so","CLHEP::HepRotation::set"
17452118,13292051,4140818,177105,"g4run","libG4physicslists.so","std::vector<G4ExcitedString*, std::allocator<G4ExcitedString*> >::_M_realloc_insert<G4ExcitedString* const&>"
17451314,16657225,2547946,94466,"g4run","libG4processes.so","G4CollisionComposite::FinalState"
17451193,6792039,1946847,116410,"g4run","libG4processes.so","G4NuclearRadii::CoulombFactor@plt"
17451174,3193079,983711,102466,"g4run","libG4particles.so","G4IonTable::GetNucleusMass@plt"
17450665,6596017,2400385,61019,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::findBoostToCM"
17450272,13299944,3556691,212631,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePiPlusNChannelData, G4PionNucSampler>::getMultiplicity"
17450089,13462454,2503082,26832,"g4run","libG4processes.so","G4InteractionContent::GetInteractionTime"
17449737,13554259,1056396,89700,"g4run","libG4processes.so","G4Fragment::CalculateMassAndExcitationEnergy@plt"
17449628,9774550,0,0,"g4run","libG4geometry.so","G4ClassicalRK4::G4ClassicalRK4"
17449544,12707090,1459896,40728,"g4run","libG4processes.so","G4CascadeCheckBalance::energyOkay@plt"
17449186,0,4999497,25231,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition*>, std::_Select1st<std::pair<int const, G4ParticleDefinition*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition*> > >::_M_get_insert_unique_pos"
17448802,7971528,0,9323,"g4run","libpythia8.so","Pythia8::Sigma2gg2QQbar3S11g::sigmaHat"
17448782,0,0,26728,"g4run","libG4clhep.so","CLHEP::HepLorentzRotation::matrixMultiplication"
17448266,0,1519164,88720,"g4run","libG4processes.so","G4ExcitedString::GetLeftParton"
17448248,13416176,3471621,31540,"g4run","libG4processes.so","G4ProtonField::GetField"
17448103,9322783,2701093,7499,"g4run","libG4digits_hits.so","G4NavigationLevel::~G4NavigationLevel@plt"
17447966,6423672,0,14346,"g4run","libG4processes.so","G4IntraNucleiCascader::decayTrappedParticle"
17447569,3348122,1506953,82867,"g4run","libG4processes.so","G4InuclNuclei::fill@plt"
17446724,3238535,3277792,25010,"g4run","libG4processes.so","G4NucleiModel::getRatio@plt"
17446477,5981472,2970660,156328,"g4run","libG4processes.so","G4KineticTrackVector::G4KineticTrackVector"
17446468,21360114,4014732,53352,"g4run","libG4processes.so","G4HadFinalState::AddSecondaries"
17446351,0,470598,114381,"g4run","libG4processes.so","G4PhotonEvaporation::GenerateGamma@plt"
17446337,10140302,3074228,65138,"g4run","libG4processes.so","G4HadronNucleonXsc::HyperonNucleonXscNS"
17446270,10860221,965560,60161,"g4run","libG4processes.so","G4LorentzConvertor::toTheTargetRestFrame@plt"
17446262,3323897,1549006,40058,"g4run","libG4processes.so","G4IntraNucleiCascader::finalize@plt"
17445970,20592895,1042494,168315,"g4run","libG4track.so","G4ParticleChangeForDecay::UpdateStepForPostStep"
17445863,25600950,1761913,124941,"g4run","libG4processes.so","G4ElasticHNScattering::ElasticScattering"
