id,cycles_old,cycles_new,overhead_old,overhead_new,ratio
"all",,,,,
"all;ksoftirqd/26",,,,,
"all;ksoftirqd/26;[kernel.vmlinux]",,,,,
"all;awk;[kernel.vmlinux];exit_mm_release",6963157,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];refill_obj_stock",671996,10612568,0.0000,0.0000,15.793
"all;awk;[kernel.vmlinux];perf_iterate_sb",3806186,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];folio_mark_accessed",6475284,6506752,0.0000,0.0000,1.005
"all;awk;[kernel.vmlinux];__x64_sys_mmap",0,2007047,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];free_unref_page",6308343,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__tlb_remove_page_size",13649709,6568546,0.0000,0.0000,0.481
"all;awk;[kernel.vmlinux];do_user_addr_fault",0,6613269,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];kmem_cache_alloc",13371459,20258524,0.0000,0.0000,1.515
"all;awk;[kernel.vmlinux];filemap_map_pages",10560654,33033918,0.0000,0.0000,3.128
"all;awk;[kernel.vmlinux];crng_fast_key_erasure",6967840,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__x86_indirect_thunk_r13",0,6968013,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];folio_memcg_unlock",6966551,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];vma_interval_tree_remove",0,6968762,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];strnlen_user",6845089,6915030,0.0000,0.0000,1.010
"all;awk;[kernel.vmlinux];native_irq_return_iret",6851482,607362,0.0000,0.0000,0.089
"all;awk;[kernel.vmlinux];clear_page_rep",26843136,14446759,0.0000,0.0000,0.538
"all;awk;[kernel.vmlinux];__fput",6480787,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];handle_mm_fault",6511146,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__put_user_nocheck_8",6722594,567507,0.0000,0.0000,0.084
"all;awk;[kernel.vmlinux];put_files_struct",0,6844024,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];prepare_alloc_pages.constprop.0",13920538,6398604,0.0000,0.0000,0.460
"all;awk;[kernel.vmlinux];load_elf_binary",6532697,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];arch_setup_additional_pages",0,4370623,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];pick_next_entity",0,6963464,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];filemap_get_read_batch",6951614,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];path_init",6332773,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];memcg_slab_free_hook",12956894,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];__pagevec_lru_add",0,6536113,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];vmacache_find",2546297,0,0.0000,0.0000,0.000
"all;awk;[kernel.vmlinux];copy_page",6582598,6961387,0.0000,0.0000,1.058
"all;awk;libtinfow.so.6.3",,,,,
"all;awk;libtinfow.so.6.3;0x000000000000f000",0,6284753,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2",,,,,
"all;awk;ld-linux-x86-64.so.2;_dl_relocate_object",35952288,32283145,0.0000,0.0000,0.898
"all;awk;ld-linux-x86-64.so.2;_dl_cache_libcmp",1195371,13797508,0.0000,0.0000,11.542
"all;awk;ld-linux-x86-64.so.2;_dl_lookup_symbol_x",60735939,78928964,0.0000,0.0000,1.300
"all;awk;ld-linux-x86-64.so.2;_dl_start",6968530,0,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;strcmp",14589861,1912408,0.0000,0.0000,0.131
"all;awk;ld-linux-x86-64.so.2;_dl_map_object_from_fd",14341779,0,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;do_lookup_x",34598084,19192929,0.0000,0.0000,0.555
"all;awk;ld-linux-x86-64.so.2;_dl_map_object_deps",6876283,6951399,0.0000,0.0000,1.011
"all;awk;ld-linux-x86-64.so.2;__GI___tunables_init",0,6822594,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;init_cpu_features.constprop.0",6319761,2619079,0.0000,0.0000,0.414
"all;awk;ld-linux-x86-64.so.2;_dl_runtime_resolve_xsavec",0,6533290,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;brk",0,6965948,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;_dl_sort_maps",0,6242975,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;_dl_important_hwcaps",0,6566371,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;memset",6313847,0,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;_dl_hwcaps_split_masked",6813784,0,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;mmap64",0,1490438,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;handle_amd",6013024,0,0.0000,0.0000,0.000
"all;awk;ld-linux-x86-64.so.2;check_match",12924661,0,0.0000,0.0000,0.000
"all;ksoftirqd/28",,,,,
"all;ksoftirqd/28;[kernel.vmlinux]",,,,,
"all;ksoftirqd/28;[kernel.vmlinux];__d_free",6968846,0,0.0000,0.0000,0.000
"all;kworker/22:2-mm",,,,,
"all;kworker/22:2-mm;[kernel.vmlinux]",,,,,
"all;kworker/22:2-mm;[kernel.vmlinux];igb_rd32",92224022,69674691,0.0000,0.0000,0.755
"all;kworker/22:2-mm;[kernel.vmlinux];collect_percpu_times",0,6883811,0.0000,0.0000,0.000
"all;kworker/22:2-mm;[kernel.vmlinux];__pm_runtime_resume",808957,0,0.0000,0.0000,0.000
"all;kworker/22:2-mm;[kernel.vmlinux];round_jiffies",972128,0,0.0000,0.0000,0.000
"all;kworker/22:2-mm;[kernel.vmlinux];igb_update_stats",6959411,7747383,0.0000,0.0000,1.113
"all;kworker/22:2-mm;[kernel.vmlinux];igb_has_link",0,6748662,0.0000,0.0000,0.000
"all;kworker/22:2-mm;[kernel.vmlinux];igb_watchdog_task",6903806,6563973,0.0000,0.0000,0.951
"all;kworker/22:2-mm;[kernel.vmlinux];free_vmap_area_noflush",0,6167189,0.0000,0.0000,0.000
"all;kworker/22:2-mm;[kernel.vmlinux];queued_spin_lock_slowpath",0,6944540,0.0000,0.0000,0.000
"all;kworker/22:2-mm;[kernel.vmlinux];igb_ptp_rx_hang",581707,0,0.0000,0.0000,0.000
"all;ksoftirqd/29",,,,,
"all;ksoftirqd/29;[kernel.vmlinux]",,,,,
"all;ksoftirqd/29;[kernel.vmlinux];file_free_rcu",0,6946263,0.0000,0.0000,0.000
"all;ksoftirqd/29;[kernel.vmlinux];refill_obj_stock",0,6537601,0.0000,0.0000,0.000
"all;fgrep",,,,,
"all;fgrep;libc.so.6",,,,,
"all;fgrep;libc.so.6;_pthread_cleanup_push@@GLIBC_2.34",0,2963240,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;cfree@GLIBC_2.2.5",6710959,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__fstat64",12821853,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__wcsmbs_load_conv",0,6818503,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;getenv",13785989,18115374,0.0000,0.0000,1.314
"all;fgrep;libc.so.6;__sysconf",6709042,13857579,0.0000,0.0000,2.066
"all;fgrep;libc.so.6;malloc",26494745,52758326,0.0000,0.0000,1.991
"all;fgrep;libc.so.6;__strcpy_avx2",32956066,14629678,0.0000,0.0000,0.444
"all;fgrep;libc.so.6;__libc_sigaction",0,6591073,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;new_composite_name",0,13181445,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__gettimeofday",1147509,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__gethostname",0,3086821,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__GI___memmem",13218373,19043982,0.0000,0.0000,1.441
"all;fgrep;libc.so.6;mblen",6960824,2187118,0.0000,0.0000,0.314
"all;fgrep;libc.so.6;_int_malloc",49526341,42883222,0.0000,0.0000,0.866
"all;fgrep;libc.so.6;__gconv_lookup_cache",0,6926210,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;msort_with_tmp.part.0",13291594,28392715,0.0000,0.0000,2.136
"all;fgrep;libc.so.6;__strrchr_avx2",6808755,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;tcgetpgrp",0,3303759,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;_nl_load_locale_from_archive",0,3514511,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;_IO_no_init",6808858,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;pthread_rwlock_wrlock@@GLIBC_2.34",0,6951481,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__gconv_read_conf",6671229,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__strlen_avx2",16797657,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;_IO_setvbuf",0,6651833,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__cxa_atexit",0,6862624,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__rawmemchr",6821318,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;@plt",6371495,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__strcmp_avx2",20784380,6560654,0.0000,0.0000,0.316
"all;fgrep;libc.so.6;_nl_find_locale",3110465,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__memset_avx2_unaligned_erms",0,18647065,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__mbrtowc",20138036,6234073,0.0000,0.0000,0.310
"all;fgrep;libc.so.6;_nl_intern_locale_data",0,12740096,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__vfprintf_internal",6967873,0,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__strchrnul_avx2",0,6965466,0.0000,0.0000,0.000
