cycles,instructions,branches,branch_misses,comm,dso,symbol
49470946198,63041513712,11822216401,166393625,"g4run","libG4geometry.so","G4PolyPhiFace::Intersect"
48334572924,47514367416,7891013104,101099840,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
47529510841,46828279171,7835972742,119393459,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::GetEquationOfMotion"
46915914578,54525199616,7219386066,68842899,"g4run","libm.so.6","__ieee754_pow_fma"
46835706765,40581940124,8218034779,119502032,"g4run","libG4processes.so","G4LorentzConvertor::getKinEnergyInTheTRS"
46701396596,44026494084,7284480401,101188256,"g4run","libG4processes.so","G4ElementaryParticleCollider::collide"
46682386022,40211354317,5209444777,108016501,"g4run","libG4processes.so","G4UrbanMscModel::SampleDisplacement"
46397632956,38235205739,5956590264,114588036,"g4run","libG4processes.so","G4VEmModel::CrossSectionPerVolume"
46308417018,38490244816,7357170550,73845310,"g4run","libG4processes.so","G4EmModelManager::GetModel"
44841692473,42436767976,6355282467,125936202,"g4run","libG4processes.so","G4NucleiModel::boundaryTransition"
44775202384,35131472693,5858608200,54978470,"g4run","libG4processes.so","G4NeutronCaptureXS::GetIsoCrossSection"
44382930371,44842939672,6030286198,86472766,"g4run","libm.so.6","__ieee754_exp_fma"
43920902550,39674752063,6315332775,141092665,"g4run","libG4processes.so","G4NucleiModel::generateParticleFate"
43361785078,42494420851,6018937402,46004597,"g4run","libG4processes.so","G4NeutronInelasticXS::IsIsoApplicable"
43266779683,42568274157,6807991152,81016915,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetAtomicMass"
43032443377,47484889725,5432219264,62486401,"g4run","libG4processes.so","G4UrbanMscModel::SampleScattering"
43028482919,36332633917,5574743372,76526971,"g4run","libG4processes.so","G4VEnergyLossProcess::GetLambdaForScaledEnergy"
43016527995,38520065163,6326714760,99671814,"g4run","libG4processes.so","G4InuclSpecialFunctions::inuclRndm"
43003503613,39758403092,5649796309,107471124,"g4run","libG4particles.so","pDynamicParticleAllocator"
42967993467,42111037138,5617409470,72509828,"g4run","libG4event.so","G4StackManager::PopNextTrack"
42293658897,38995401233,7436161744,108631348,"g4run","libG4processes.so","G4CascadeInterpolator<30>::getBin"
42097794209,43080569551,5973699152,87895606,"g4run","libG4geometry.so","G4LogicalVolume::GetMaterialCutsCouple"
41810068362,43516676687,6521052196,96694114,"g4run","libG4processes.so","G4PhysicsVector::Value"
41566841111,33905143386,5093103982,103723572,"g4run","libG4track.so","G4ParticleChangeForGamma::UpdateStepForPostStep"
41353094424,34373956712,5419444015,77742703,"g4run","libG4geometry.so","G4PVPlacement::GetRegularStructureId"
41158295535,34932775678,6739137772,166447374,"g4run","libG4processes.so","G4EquilibriumEvaporator::deExcite"
40953692156,35481807663,6886508220,73526251,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
40774881370,39958142549,5291330263,60167177,"g4run","libG4event.so","G4StackManager::GetNUrgentTrack"
39927962201,41672117359,5851877110,70452087,"g4run","libG4geometry.so","G4Navigator::SetSavedState"
39552766930,34018006613,5584812933,109508040,"g4run","libG4processes.so","G4PVPlacement::GetCopyNo"
39125910688,39666463900,6676724693,92228839,"g4run","libG4geometry.so","G4FieldManager::ConfigureForTrack"
38795231820,37189883931,6252695813,134101501,"g4run","libG4particles.so","G4DynamicParticle::operator="
38664167984,45701499289,7871213628,152933288,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceToIn"
38532409786,39328771620,6071286108,75114399,"g4run","libG4processes.so","G4HadProjectile::InitialiseLocal"
38273682314,43940491833,4754279681,50606670,"g4run","libG4processes.so","G4WentzelOKandVIxSection::ComputeTransportCrossSectionPerAtom"
38231361117,38424024695,5975049286,78248110,"g4run","libG4geometry.so","G4SafetyHelper::ComputeSafety"
38184714344,50260331801,5576061724,43487153,"g4run","libG4processes.so","G4UrbanMscModel::SimpleScattering"
37141915248,40989424551,6468013395,76898193,"g4run","libG4processes.so","G4InuclSpecialFunctions::generateWithRandomAngles"
37103138971,35283559256,3436074137,116109866,"g4run","libG4processes.so","G4NucleiModel::zoneIntegralWoodsSaxon"
36973196262,30905859336,4631848921,81048097,"g4run","libG4geometry.so","G4Box::DistanceToOut"
36901124760,32925237258,4887784305,58924365,"g4run","libm.so.6","__ieee754_log_fma"
36879942560,40728364910,6204842545,139630772,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone2"
36790477455,33691528178,5729915062,104796882,"g4run","libG4processes.so","G4CollisionOutput::getTotalOutputMomentum"
36436226076,43590182275,5979540487,42112659,"g4run","libG4processes.so","G4NeutronElasticXS::IsIsoApplicable"
36383085129,34688364581,5424861409,98184043,"g4run","libG4geometry.so","G4TouchableHistory::G4TouchableHistory"
36356797792,41762260671,5130850470,51657724,"g4run","g4run","ffunkti"
36306378036,29423606444,4722515334,77377062,"g4run","libG4track.so","G4ParticleChange::UpdateStepForPostStep"
36277103849,31198573074,5852509542,57282521,"g4run","libG4processes.so","G4UrbanMscModel::StartTracking"
35862648690,31869776975,5670243241,61644225,"g4run","libG4geometry.so","G4FieldManagerStore::GetInstance"
35619729120,41127087110,6679268880,68678094,"g4run","libG4geometry.so","G4Navigator::RestoreSavedState"
34903463301,32324867155,4500913657,75091958,"g4run","libG4particles.so","G4ParticleDefinition::GetTrackingManager"
34845146690,32373947345,5558146962,73416946,"g4run","libG4processes.so","G4InuclElementaryParticle::makeDefinition"
34758739119,40233348139,6625775476,96927912,"g4run","libG4geometry.so","G4Box::DistanceToIn"
34559407893,32431227487,5866031444,64457991,"g4run","libG4particles.so","G4DynamicParticle::SetDefinition"
34318589982,30462617554,4741486130,66673814,"g4run","libG4processes.so","G4RayleighAngularGenerator::SampleDirection"
34312301241,38631087129,3910275479,35435192,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTrueStepLength"
34230615682,23391109051,3788438442,114567512,"g4run","libG4processes.so","G4ModifiedTsai::SampleCosTheta"
33543497501,29374002835,4764207815,92974458,"g4run","libG4geometry.so","aNavigLevelRepAllocator"
33525963442,39407725298,5861350189,112450752,"g4run","libG4geometry.so","G4UnionSolid::Inside"
33403218637,27204645394,4321950901,48574976,"g4run","libG4processes.so","G4NeutronCaptureXS::IsIsoApplicable"
32450711901,27390371498,4272750754,88059261,"g4run","libG4geometry.so","aTouchableHistoryAllocator"
32292045463,22913491097,3290021028,93464248,"g4run","libG4geometry.so","G4LineSection::G4LineSection"
32247536345,30130897522,4540398691,76366198,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
32028967168,26332923521,4429202532,111825712,"g4run","libG4processes.so","G4CollisionOutput::reset"
31564575923,32769617853,4175375237,62623393,"g4run","libG4processes.so","G4WentzelOKandVIxSection::SetupTarget"
31245777439,27602488859,6619077926,73294903,"g4run","libG4processes.so","G4NumIntTwoBodyAngDst<11, 19>::GetCosTheta"
30831173120,28000020164,4178407622,80998480,"g4run","libG4geometry.so","G4NavigationHistoryPool::GetInstance"
30482707223,29284853425,4417343890,48949068,"g4run","libG4processes.so","G4CascadParticle::getPathToTheNextZone"
30360534247,28008516640,4746510160,80947049,"g4run","libc.so.6","__strcmp_avx2"
30256784196,32349387884,4611928846,53122284,"g4run","libG4geometry.so","G4Trap::DistanceToOut"
30252751428,27586958375,4117187881,81861052,"g4run","libG4processes.so","G4CascadParticle::propagateAlongThePath"
29913162620,35789930485,4995117627,38562638,"g4run","libG4processes.so","G4NeutronElasticXS::IsElementApplicable"
29882743641,24894648402,3786215210,78933194,"g4run","libG4physicslists.so","G4VEmProcess::CurrentSetup"
29861584671,41003133528,6333284532,27136418,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getMultiplicity"
29665350092,27665382797,4288467382,69743325,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
29497481973,28569449912,4430031126,75529231,"g4run","libG4geometry.so","G4NavigationHistory::~G4NavigationHistory"
29441129952,24680192956,4703435529,54164203,"g4run","libG4processes.so","G4LorentzConvertor::setTarget"
29391948458,24264638876,3624040021,57228807,"g4run","libG4geometry.so","G4Navigator::SetupHierarchy"
28771731084,27597370833,4541837392,56142918,"g4run","libG4processes.so","G4CascadeChannelTables::instance"
28081868899,21816992064,4136742222,39995087,"g4run","libG4processes.so","G4HadronicProcess::StartTracking"
27995653681,27590041832,4410540096,67358291,"g4run","libG4geometry.so","G4Box::DistanceToOut"
