cycles,comm,dso,symbol
18351125100,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdgesExact"
18177803878,"g4run","libG4geometry.so","G4VPhysicalVolume::GetRotation@plt"
17936092273,"g4run","libG4particles.so","pDynamicParticleAllocator"
17831356769,"g4run","libG4geometry.so","aNavigLevelRepAllocator@plt"
17730274845,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid@plt"
17721073167,"g4run","libG4processes.so","G4Neutron::Definition@plt"
17472613717,"g4run","libG4geometry.so","G4LineSection::G4LineSection"
17427927788,"g4run","libG4track.so","G4Track::ClearAuxiliaryTrackInformation"
17288907550,"g4run","libG4processes.so","G4WentzelVIModel::StartTracking"
17276709099,"g4run","libG4processes.so","G4ChipsNeutronElasticXS::GetQ2max"
17202942067,"g4run","libG4geometry.so","G4NavigationHistoryPool::GetInstance"
17190923175,"g4run","libG4processes.so","G4HadronicProcess::UpdateCrossSectionAndMFP@plt"
17123945004,"g4run","libG4tracking.so","G4SteppingManager::Stepping@plt"
17059953120,"g4run","libG4geometry.so","G4SubtractionSolid::DistanceToOut"
17054842591,"g4run","libG4processes.so","G4Transportation::PostStepGetPhysicalInteractionLength"
17032330945,"g4run","libm.so.6","exp@@GLIBC_2.29"
17029543661,"g4run","libG4processes.so","G4EmElementSelector::SelectRandomAtom"
16975029176,"g4run","libG4processes.so","G4CollisionOutput::addOutgoingParticles"
16970091501,"g4run","libG4particles.so","G4PDefManager::offset"
16964248402,"g4run","libG4geometry.so","G4Tubs::DistanceToIn"
16894138296,"g4run","libG4geometry.so","aTouchableHistoryAllocator"
16879008366,"g4run","libG4event.so","G4TrackingManager::ProcessOneTrack@plt"
16740175272,"g4run","libG4processes.so","G4InuclElementaryParticle::makeDefinition@plt"
16712102321,"g4run","libG4particles.so","G4PDefManager::offset@plt"
16639603120,"g4run","libG4processes.so","G4CrossSectionDataStore::GetCrossSection@plt"
16605983221,"g4run","libG4processes.so","G4CascadeNPChannel::findCrossSection"
16562253891,"g4run","libG4processes.so","G4CascadeChannelTables::instance"
16460207747,"g4run","libG4processes.so","CLHEP::MixMaxRng::iterate@plt"
