cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
2289029696,2165947365,273566103,39951798,1195365389,91094952,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetIndex@plt"
2289020483,1677749165,259187911,141402617,899501126,48148540,"g4run","libG4processes.so","G4InuclCollider::deexcite"
2260853092,2121309211,342064569,86715753,1152427718,65058361,"g4run","libG4processes.so","G4CascadeCheckBalance::momentumOkay"
2240064240,2560415579,260623825,15017961,1310272292,144367002,"g4run","libG4geometry.so","G4Polyhedra::DistanceToIn"
2198081776,2059490886,414348870,34353782,1237100148,149487857,"g4run","libG4clhep.so","CLHEP::MixMaxRng::generate@plt"
2161564740,3790399221,14708126,493914,1667426517,3142843,"g4run","libstdc++.so.6.0.30","std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_float"
2160325218,1208742433,345559393,146616156,833891426,133606634,"g4run","libG4processes.so","G4CrossSectionInelastic::IsElementApplicable"
2157404641,1581523533,255042396,91819319,987338805,67863505,"g4run","libstdc++.so.6.0.30","operator delete"
2142489650,1963131200,320995379,37356734,1160571962,89908186,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
2134593143,2146413373,230295231,56176606,1193531239,98118368,"g4run","libG4processes.so","G4NuclearRadii::CoulombFactor"
2133068888,1923096024,406650823,38989244,982352516,95582418,"g4run","libG4processes.so","G4NucleiModel::passTrailing"
2108930356,1531570336,239585249,109992692,814239371,61985631,"g4run","libG4processes.so","G4IntraNucleiCascader::initialize"
2098274821,1474127612,369882019,95583953,754856789,89859699,"g4run","libG4processes.so","G4HadFinalState::SetEnergyChange"
2091054462,2052796531,365555414,29078746,1343610212,190742134,"g4run","libG4geometry.so","G4ReflectedSolid::DistanceToOut"
2077845787,2855747115,128722836,19238771,1317937325,50388545,"g4run","libG4processes.so","G4GEMCoulombBarrier::CalcCompoundRadius"
2077635322,3104430016,36748051,8030224,1916224527,6098771,"g4run","libG4processes.so","G4CascadeCoalescence::getClusterMomentum"
2068350853,1402678576,272156928,112265027,787816126,60574734,"g4run","libG4processes.so","G4Fragment::~G4Fragment"
2062697170,1977468136,256831216,54965305,1152447675,93942626,"g4run","libG4global.so","G4Pow::A13"
2058628935,1328354830,309868760,150471677,796701951,49785870,"g4run","libG4processes.so","G4InuclSpecialFunctions::FermiEnergy"
2055764665,1400178627,273109601,95487130,849787950,61636197,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
2013388776,2018326123,362456432,39634339,1173316010,171214649,"g4run","libG4geometry.so","G4Polyhedra::DistanceToIn"
2011560278,2991617098,36581920,6295495,1714596297,5396519,"g4run","libG4processes.so","G4CascadeCoalescence::allNucleons"
1992661939,1888758360,183676511,28070496,1227301894,59566680,"g4run","libG4digits_hits.so","G4TouchableHistory::UpdateYourself"
1979026219,1595364150,299116664,112177625,856167669,76369615,"g4run","libG4processes.so","G4NucleiModel::reset"
1978250093,2104629294,325801699,38621757,1353604846,153653612,"g4run","libG4processes.so","G4Transportation::SetTouchableInformation@plt"
1972421099,1897872632,270824024,32679406,1009081821,60477265,"g4run","libG4processes.so","CLHEP::operator/@plt"
1962328778,2316883871,121579204,13686210,1229034499,45189481,"g4run","libG4processes.so","G4GEMCoulombBarrier::GetCoulombBarrier"
1957956017,1638428707,212120826,9696259,897248008,29431767,"g4run","libG4processes.so","std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<G4InuclElementaryParticle, double>*, std::vector<std::pair<G4InuclElementaryParticle, double>, std::allocator<std::pair<G4InuclElementaryParticle, double> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::pair<G4InuclElementaryParticle, double> const&, std::pair<G4InuclElementaryParticle, double> const&)> >"
1939861172,2169769231,243331939,24577118,1284142109,120763408,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone@plt"
1933863901,1667733124,332233578,39586758,1106181580,141162841,"g4run","libG4processes.so","G4VPhysicalVolume::GetTranslation@plt"
