cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
352123011,357033776,42640125,11866016,167946511,9279067,"g4run","libG4processes.so","G4CollisionOutput::reset@plt"
351996633,305556818,33051733,5307279,198445735,7876929,"g4run","libG4processes.so","G4CascadeRecoilMaker::collide@plt"
345222881,226989734,2382795,1914412,153707387,2060231,"g4run","libG4processes.so","std::__introsort_loop<__gnu_cxx::__normal_iterator<G4Fancy3DNucleusHelper*, std::vector<G4Fancy3DNucleusHelper, std::allocator<G4Fancy3DNucleusHelper> > >, long, __gnu_cxx::__ops::_Iter_less_iter>"
342146217,1017693495,6944571,45105,399488277,3391959,"g4run","libG4geometry.so","G4BoundingEnvelope::CalculateExtent"
339034495,615840967,2542122,250653,275608441,966890,"g4run","libstdc++.so.6.0.30","std::__istream_extract"
337977092,309038009,46015438,5120847,189872213,8783637,"g4run","libG4processes.so","G4TwoBodyAngularDist::GetInstance@plt"
337731861,201401054,25138144,11565412,110627127,6405445,"g4run","libG4processes.so","G4EvaporationChannel::EmittedFragment"
334641669,262307667,34262822,10750313,152175337,7027872,"g4run","libG4particles.so","G4Deuteron::Definition"
334090190,346429616,24675579,7732756,167103332,2510272,"g4run","libG4processes.so","G4PreCompoundTransitions::CalculateProbability"
324876689,682477442,1718402,28380,256715162,233282,"g4run","libstdc++.so.6.0.30","std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get"
324064290,357155495,61972840,7553548,232258314,24148232,"g4run","libG4processes.so","G4WentzelOKandVIxSection::ComputeMaxElectronScattering@plt"
324035211,262647128,39616224,10128614,102778659,7488699,"g4run","libG4processes.so","G4BraggModel::MaxSecondaryEnergy"
320808852,215444423,5509119,1106380,158321456,1764382,"g4run","libG4processes.so","G4Fancy3DNucleus::ReduceSum"
320564773,267786980,38216200,1327023,167154155,5813961,"g4run","libG4processes.so","G4NucleiModel::useQuasiDeuteron@plt"
320464756,380164140,53113841,5080964,241982737,28002352,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceToOneSide@plt"
316922679,327653627,22851367,2226776,122451888,3682289,"g4run","libG4processes.so","G4KM_NucleonEqRhs::EvaluateRhsGivenB"
313828841,294772384,44645297,7962392,182911401,9600073,"g4run","libG4processes.so","G4CollisionOutput::addOutgoingNuclei@plt"
313679499,63036362,30471571,17545852,46358720,9898733,"g4run","libG4processes.so","G4LowEGammaNuclearModel::ApplyYourself"
313455928,162799581,29154541,9763698,115084369,4371887,"g4run","libG4particles.so","G4Alpha::Definition"
313449607,422929600,8041887,2861865,247915557,2274519,"g4run","libG4processes.so","std::__introsort_loop<__gnu_cxx::__normal_iterator<G4Nucleon*, std::vector<G4Nucleon, std::allocator<G4Nucleon> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(G4Nucleon const&, G4Nucleon const&)> >"
310156379,279651205,13802456,2911821,152275937,5265453,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
309847866,223359484,39636300,2453581,129916339,7769529,"g4run","libG4processes.so","G4IonFluctuations::Factor"
306727875,248332494,65666632,12614098,156019064,29252951,"g4run","libG4processes.so","G4Exp"
306698864,279397156,32499301,2681043,160361702,5613880,"g4run","libG4processes.so","G4InteractionCase::set@plt"
306594131,251418430,45999906,8048794,159384899,10169890,"g4run","libG4processes.so","G4UnboundPN::Definition"
299695839,323763132,47220876,5764748,201951745,21559267,"g4run","libG4tracking.so","aCountedObjectAllocator@plt"
298775694,266112152,36128893,16281709,122722951,12588799,"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append"
296451188,258186256,68801490,4564608,212178145,21035226,"g4run","libG4processes.so","G4PhysicsVector::Value@plt"
296182119,216676405,42007094,9159930,132567453,20940746,"g4run","libG4processes.so","G4BGGPionInelasticXS::IsElementApplicable"
296074738,225367329,26639600,4077645,95789734,6248231,"g4run","libG4processes.so","G4CascadParticle::propagateAlongThePath@plt"
292822991,251472451,17884730,1584959,166587548,6639756,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
292696594,301885969,12318961,1289403,129227995,3190933,"g4run","libG4processes.so","G4NuclearFermiDensity::GetDeriv"
289298679,272187416,35031035,3365063,135422970,15981906,"g4run","libG4geometry.so","G4Cons::SurfaceNormal"
289259418,540232876,4180253,880378,171987185,714174,"g4run","libG4processes.so","G4PreCompoundFragment::CrossSection"
285772143,345567225,66323690,3402044,165930590,25877900,"g4run","libG4processes.so","G4NeutronCaptureXS::SelectIsotope"
285335945,368034603,29814606,1466028,267248553,6340589,"g4run","libG4processes.so","G4CascadeSampler<31, 6>::findMultiplicity"
282303410,231480242,31028070,6565140,142900722,7622426,"g4run","libG4particles.so","G4OmegaMinus::Definition"
282186099,315265190,39108596,7595136,134147565,14241243,"g4run","libG4processes.so","G4BGGPionElasticXS::IsElementApplicable"
278877390,274943183,46427242,4022451,179803328,7497192,"g4run","libG4processes.so","G4InuclSpecialFunctions::randomCOS_SIN@plt"
278700053,281774218,39158641,12981546,139544876,29255257,"g4run","libG4processes.so","G4NeutronElasticXS::ElementCrossSection@plt"
278582453,234732023,36346312,15622711,146819198,4739956,"g4run","libG4processes.so","G4InuclSpecialFunctions::csPN"
277983672,465516666,1421127,112721,177088915,117744,"g4run","libstdc++.so.6.0.30","std::string::push_back"
275220248,267970456,23915009,2732821,111386616,5141956,"g4run","libG4processes.so","G4CascadParticle::operator=@plt"
272337371,454074329,1829642,207328,149649168,308771,"g4run","libc.so.6","__mpn_lshift"
271900812,219922526,20818840,7635818,107241632,6836823,"g4run","libG4processes.so","G4GeneratorPrecompoundInterface::Propagate"
271642978,201817942,39134506,4462509,96622502,8934349,"g4run","libG4processes.so","G4Poisson@plt"
271413542,187281508,28217198,5349416,123550734,6938849,"g4run","libG4particles.so","G4XiZero::Definition"
268047817,241781220,45893084,5829580,166815018,18443239,"g4run","libG4tracking.so","G4ParticleDefinition::GetProcessManager@plt"
267630570,330661240,54790695,3618530,191555664,11259463,"g4run","libG4processes.so","G4InuclSpecialFunctions::generateWithRandomAngles@plt"
265333449,497295493,3051444,9544,217361610,938520,"g4run","libG4geometry.so","G4BoundingEnvelope::ClipVoxelByPlanes"
265012366,162368479,20395410,9584019,129479908,5103288,"g4run","libG4particles.so","G4AntiDeuteron::Definition"
264897277,282838669,12024892,2440160,139672344,5007281,"g4run","libG4processes.so","G4Pow::powA"
264894237,272373739,30087788,8298420,138035740,14003153,"g4run","libG4processes.so","G4BGGNucleonInelasticXS::GetIsoCrossSection"
261533481,361351418,20427753,4406527,177508557,7862070,"g4run","libG4processes.so","G4CascadeCoalescence::tryClusters"
261483810,249920151,29047534,6603876,138308393,6444930,"g4run","libstdc++.so.6.0.30","strcmp@plt"
261431073,322490044,34404119,3975674,172703594,12801283,"g4run","libG4processes.so","G4InuclNuclei::getNucleiMass@plt"
261106566,254761977,42054606,7221223,122389961,23608845,"g4run","libG4clhep.so","sincos@plt"
257954703,147894698,28049517,11398340,114299153,10619412,"g4run","libG4processes.so","pDynamicParticleAllocator@plt"
257759048,265466706,42135270,8748361,150721440,9912797,"g4run","libG4processes.so","G4NuclearRadii::ExplicitRadius@plt"
257588074,299847010,1822535,156251,125565687,1927868,"g4run","libpythia8.so","Pythia8::Settings::init"
255908831,279648493,24156377,6775155,190971189,14899324,"g4run","libpythia8.so","Pythia8::Sigma2gg2QQbar3PJ1g::sigmaKin"
255063497,265906161,36242784,986828,138504692,9306705,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroNChannelData, G4KaonSampler>::getCrossSection"
254252411,318745595,18044337,2315875,225204024,7421566,"g4run","libG4processes.so","G4Scatterer::GetTimeToInteraction"
254191002,200547065,18044725,1649841,148427646,6510377,"g4run","libG4processes.so","G4NuclearFermiDensity::GetRelativeDensity"
254187187,296178740,40809389,5238428,186817683,12050173,"g4run","libG4particles.so","G4SigmaPlus::Definition"
252128128,406412033,7171783,1333530,229874810,1118414,"g4run","libstdc++.so.6.0.30","std::use_facet<std::ctype<char> >"
251366476,665719710,4886516,16383,328447831,1660784,"g4run","libG4geometry.so","G4BoundingEnvelope::CreateListOfPlanes"
250996687,140413992,28642517,5688478,84100609,6587690,"g4run","libG4particles.so","G4XiMinus::Definition"
250380351,110949121,23830152,10938199,103054285,10254328,"g4run","libG4processes.so","G4TheoFSGenerator::ApplyYourself"
244764339,457221865,4054134,132344,226261610,1359915,"g4run","libc.so.6","round_and_return"
243855259,256753748,32898157,5909439,136122142,19618997,"g4run","libG4geometry.so","G4NormalNavigation::ComputeSafety@plt"
242934872,212530412,14199208,5160253,99818799,8060279,"g4run","libpythia8.so","Pythia8::MultipartonInteractions::jetCrossSection"
242779139,219157970,11233914,4199957,88629687,4758702,"g4run","libstdc++.so.6.0.30","malloc@plt"
237383879,352063675,350076,9905,152614792,355599,"g4run","libG4processes.so","G4eBremsstrahlungRelModel::ComputeBremLoss"
237223152,312789436,18801755,1835326,98637411,6567790,"g4run","libG4processes.so","G4EmCorrections::BarkasCorrection"
