cycles_old,cycles_new,comm,dso,symbol
6196485,0,"fgrep","[kernel.vmlinux]","unmap_vmas"
6539926,6904139,"fgrep","[kernel.vmlinux]","perf_output_begin"
0,19250512,"fgrep","[kernel.vmlinux]","__mod_lruvec_page_state"
0,6770495,"fgrep","[kernel.vmlinux]","page_add_new_anon_rmap"
20187382,13632209,"fgrep","[kernel.vmlinux]","sync_regs"
0,6920520,"fgrep","[kernel.vmlinux]","strlen"
20418004,0,"fgrep","[kernel.vmlinux]","entry_SYSCALL_64"
6873831,0,"fgrep","[kernel.vmlinux]","__fget_light"
13259751,53920864,"fgrep","[kernel.vmlinux]","trace_hardirqs_on"
0,13929272,"fgrep","[kernel.vmlinux]","exit_to_user_mode_prepare"
6906778,0,"fgrep","[kernel.vmlinux]","read_extent_buffer"
0,6649109,"fgrep","[kernel.vmlinux]","btrfs_ioctl"
0,3045445,"fgrep","[kernel.vmlinux]","copy_from_kernel_nofault"
13469662,9280377,"fgrep","[kernel.vmlinux]","charge_memcg"
13252816,0,"fgrep","[kernel.vmlinux]","mod_objcg_state"
6936649,0,"fgrep","[kernel.vmlinux]","may_expand_vm"
7855263,3319046,"fgrep","[kernel.vmlinux]","page_remove_rmap"
6923872,0,"fgrep","[kernel.vmlinux]","security_file_mprotect"
0,6477328,"fgrep","[kernel.vmlinux]","remove_vma"
0,6616063,"fgrep","[kernel.vmlinux]","xas_load"
0,6915631,"fgrep","[kernel.vmlinux]","perf_event_mmap_output"
29994428,8915298,"fgrep","[kernel.vmlinux]","next_uptodate_page"
0,6967620,"fgrep","[kernel.vmlinux]","add_mm_counter_fast"
0,8278702,"fgrep","[kernel.vmlinux]","__do_munmap"
6590277,0,"fgrep","[kernel.vmlinux]","vma_link"
0,6925534,"fgrep","[kernel.vmlinux]","kmem_cache_alloc_trace"
0,13012851,"fgrep","[kernel.vmlinux]","__memcpy"
29718199,44421569,"fgrep","[kernel.vmlinux]","copy_user_generic_string"
0,6895471,"fgrep","[kernel.vmlinux]","path_lookupat"
3644162,0,"fgrep","[kernel.vmlinux]","copy_page_to_iter"
6166523,10878950,"fgrep","[kernel.vmlinux]","vm_normal_page"
6506405,0,"fgrep","[kernel.vmlinux]","__filemap_get_folio"
0,6745334,"fgrep","[kernel.vmlinux]","do_mmap"
0,13571247,"fgrep","[kernel.vmlinux]","alloc_pages_vma"
6965964,0,"fgrep","[kernel.vmlinux]","asm_load_gs_index"
0,5366488,"fgrep","[kernel.vmlinux]","__fsnotify_parent"
6650746,6930686,"fgrep","[kernel.vmlinux]","cap_bprm_creds_from_file"
16381529,45760278,"fgrep","[kernel.vmlinux]","trace_hardirqs_off"
0,5113433,"fgrep","[kernel.vmlinux]","cpumask_next"
20481969,21261322,"fgrep","[kernel.vmlinux]","page_add_file_rmap"
0,6969581,"fgrep","[kernel.vmlinux]","btrfs_free_path"
0,11810476,"fgrep","[kernel.vmlinux]","_raw_spin_lock"
6746021,6967553,"fgrep","[kernel.vmlinux]","cgroup_rstat_updated"
29981492,15112823,"fgrep","[kernel.vmlinux]","__handle_mm_fault"
34446479,18995856,"fgrep","[kernel.vmlinux]","__rcu_read_unlock"
6473425,0,"fgrep","[kernel.vmlinux]","__alloc_pages"
6856626,0,"fgrep","[kernel.vmlinux]","__x64_sys_rseq"
0,13578894,"fgrep","[kernel.vmlinux]","do_prlimit"
6411742,0,"fgrep","[kernel.vmlinux]","mem_cgroup_handle_over_high"
6951722,13391114,"fgrep","[kernel.vmlinux]","perf_event_mmap"
0,6678305,"fgrep","[kernel.vmlinux]","btrfs_dentry_delete"
6636008,0,"fgrep","[kernel.vmlinux]","get_unmapped_area"
20400368,26438039,"fgrep","[kernel.vmlinux]","get_page_from_freelist"
6495696,0,"fgrep","[kernel.vmlinux]","syscall_enter_from_user_mode"
6966993,13215219,"fgrep","[kernel.vmlinux]","up_write"
0,6951191,"fgrep","[kernel.vmlinux]","vm_unmapped_area"
6705817,0,"fgrep","[kernel.vmlinux]","dget_parent"
22297872,3490935,"fgrep","[kernel.vmlinux]","unlock_page_memcg"
6157139,6897267,"fgrep","[kernel.vmlinux]","cpumask_any_but"
6546108,0,"fgrep","[kernel.vmlinux]","userfaultfd_unmap_complete"
6968332,0,"fgrep","[kernel.vmlinux]","free_swap_cache"
0,6779168,"fgrep","[kernel.vmlinux]","do_filp_open"
6960241,0,"fgrep","[kernel.vmlinux]","btrfs_file_mmap"
0,6533136,"fgrep","[kernel.vmlinux]","unlink_anon_vmas"
0,13644900,"fgrep","[kernel.vmlinux]","nr_blockdev_pages"
13615358,0,"fgrep","[kernel.vmlinux]","mark_page_accessed"
6678893,6766408,"fgrep","[kernel.vmlinux]","obj_cgroup_charge"
6969756,0,"fgrep","[kernel.vmlinux]","vm_area_dup"
0,6523606,"fgrep","[kernel.vmlinux]","context_tracking_recursion_enter"
11658691,0,"fgrep","[kernel.vmlinux]","count.constprop.0.isra.0"
27922173,13926765,"fgrep","[kernel.vmlinux]","lock_page_memcg"
0,6817336,"fgrep","[kernel.vmlinux]","__slab_free"
16280837,0,"fgrep","[kernel.vmlinux]","xas_find"
6964468,9792338,"fgrep","[kernel.vmlinux]","kfree"
0,13589689,"fgrep","[kernel.vmlinux]","flush_tlb_mm_range"
6848986,13899230,"fgrep","[kernel.vmlinux]","asm_exc_page_fault"
0,6187999,"fgrep","[kernel.vmlinux]","syscall_exit_to_user_mode"
0,6933304,"fgrep","[kernel.vmlinux]","call_rcu"
0,13132999,"fgrep","[kernel.vmlinux]","folio_mark_accessed"
6813598,0,"fgrep","[kernel.vmlinux]","perf_iterate_sb"
0,6893141,"fgrep","[kernel.vmlinux]","vfs_read"
2962624,0,"fgrep","[kernel.vmlinux]","userfaultfd_unmap_prep"
5823360,0,"fgrep","[kernel.vmlinux]","security_bprm_committed_creds"
13198908,6153706,"fgrep","[kernel.vmlinux]","entry_SYSCALL_64_after_hwframe"
6882123,6883216,"fgrep","[kernel.vmlinux]","vvar_fault"
0,6361461,"fgrep","[kernel.vmlinux]","wp_page_copy"
10692717,6899312,"fgrep","[kernel.vmlinux]","__tlb_remove_page_size"
