id,cycles,instructions,branches,branch_misses
"all;g4run;libG4particles.so;pthread_mutex_lock@plt",3491329,2984258,0,25038
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::IsInTable",24350949,22442682,7650471,27752
"all;g4run;libG4particles.so;G4MuonDecayChannel::DecayIt",72868587,26189607,9207547,261845
"all;g4run;libG4particles.so;G4KaonZeroLong::Definition@plt",0,0,472200,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetBindingEnergy@plt",3490312,0,0,0
"all;g4run;libG4particles.so;G4DecayTable::SelectADecayChannel",257541108,140593450,20109734,1056406
"all;g4run;libG4particles.so;G4KaonZero::Definition",4455477418,4615340883,780753788,9091056
"all;g4run;libG4particles.so;operator delete@plt",0,0,510243,0
"all;g4run;libG4particles.so;G4AntiAlpha::Definition",222067088,145946604,21745383,655884
"all;g4run;libG4particles.so;G4Electron::Definition",25503475851,24074174930,3905597958,64363868
"all;g4run;libG4particles.so;G4Proton::ProtonDefinition",0,3304500,0,0
"all;g4run;libG4particles.so;G4PionZero::Definition",4144099865,3659321165,657647806,11307770
"all;g4run;libG4particles.so;pthread_mutex_unlock@plt",3488880,0,475216,0
"all;g4run;libG4particles.so;G4VDecayChannel::G4VDecayChannel",34614512,10320030,910308,169898
"all;g4run;libG4particles.so;G4Threading::IsWorkerThread@plt",0,5801340,0,7796
"all;g4run;libG4particles.so;G4PionMinus::PionMinusDefinition",3491462,0,0,0
"all;g4run;libG4particles.so;G4PhaseSpaceDecayChannel::IsOKWithParentMass",118242248,59523691,10814983,428613
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::GetIndex",250929194,274018086,40502101,320691
"all;g4run;libG4particles.so;G4PDefData::initialize",0,0,2738530,0
"all;g4run;libG4particles.so;G4NuclideTable::GetIsotope",13900973,0,0,63358
"all;g4run;libG4particles.so;G4DecayProducts::Boost",45338140,26798908,2995427,365639
"all;g4run;libG4particles.so;G4AntiHe3::Definition",306525933,189924889,29621686,1032882
"all;g4run;libG4particles.so;G4Electron::Definition@plt",1812299898,1281536369,196392294,5246050
"all;g4run;libG4particles.so;G4Deuteron::Deuteron",0,0,0,36630
"all;g4run;libG4particles.so;G4ParticleDefinition::SetProcessManager",0,4027921,0,0
"all;g4run;libG4particles.so;G4CacheReference<double>::cache@plt",3490402,2920254,0,38138
