cycles_old,cycles_new,instructions_old,instructions_new,cache_references_old,cache_references_new,cache_misses_old,cache_misses_new,L1_dcache_loads_old,L1_dcache_loads_new,L1_dcache_load_misses_old,L1_dcache_load_misses_new,comm,dso,symbol
24413011,55744837,39937164,60048704,9303976,8816176,405696,636609,22241066,15912165,3081279,5654958,"g4run","libG4processes.so","atan2@plt"
69764802,76697906,84745068,78228166,11328248,13173403,851881,1222201,43682013,47494862,3215138,2341755,"g4run","libG4processes.so","G4NucleiModel::inverseMeanFreePath@plt"
271534406,254191002,247664373,200547065,25177424,18044725,1498719,1649841,144285043,148427646,6043440,6510377,"g4run","libG4processes.so","G4NuclearFermiDensity::GetRelativeDensity"
299705333,181254532,268513657,188494534,21318758,27421132,5347322,4711657,141352554,130442166,6655769,9375276,"g4run","libG4processes.so","G4PionZero::Definition@plt"
309986802,310156379,291918631,279651205,16894981,13802456,2505740,2911821,104683130,152275937,5967977,5265453,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
34630997,38404346,38207300,79773369,1036177,941782,0,0,29178822,38121254,42230,296611,"g4run","libG4processes.so","G4BraggModel::ElectronicStoppingPower"
3490366,0,0,0,0,0,0,0,0,0,0,0,"g4run","libG4processes.so","G4FTFModel::AdjustNucleonsAlgorithm_afterSampling"
10456693,6980247,9986126,20327548,0,595754,0,0,7914755,6104047,239134,745396,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeSigmaZeroNChannelData, G4KaonHypSampler>::getOutgoingParticleTypes"
10458419,0,3488018,0,709618,0,84263,0,8096273,0,0,0,"g4run","libG4processes.so","G4VNuclearDensity::G4VNuclearDensity"
1801327547,2097938237,1538584169,1829297221,280564733,317761683,44677815,49598773,903354811,1188046874,139279419,151280758,"g4run","libG4processes.so","G4WentzelOKandVIxSection::SetupKinematic"
10468518,13873460,19532434,13417137,1627865,2415504,537492,540989,0,5938963,562869,523841,"g4run","libG4processes.so","G4HadronBuilder::Barion"
22983844,16142112,40874885,47551381,644551,934367,37801,0,18092112,13570595,966431,190961,"g4run","libG4processes.so","G4ProcessTable::Insert"
83673044,166987962,81221116,146901286,6184093,13466672,847375,2565078,43572581,123696782,1678241,4610400,"g4run","libG4processes.so","G4AntiKaonZero::Definition@plt"
5419140402,4919373388,2779449072,2442384033,555308019,478382706,261716382,232508718,1506961385,1459395072,124327626,122144537,"g4run","libG4processes.so","G4PhotonEvaporation::GenerateGamma"
24342311975,21656304369,24265281565,22639106682,3871322878,3626546929,338639581,273205320,14673530103,14006433913,803341447,757477963,"g4run","libG4processes.so","G4InuclSpecialFunctions::randomCOS_SIN"
20862869,31279319,9327892,19409520,2590834,1068408,558709,219837,12479629,5933562,815962,0,"g4run","libG4processes.so","G4LundStringFragmentation::Sample4Momentum"
136002079,153488658,42489875,78045408,14965081,15894942,6411671,5707984,33510476,31893422,1432446,3328627,"g4run","libG4processes.so","G4Fancy3DNucleus::Init"
3489836,0,0,0,0,0,66517,0,0,0,0,0,"g4run","libG4processes.so","G4KM_NucleonEqRhs::G4KM_NucleonEqRhs"
13937640,10472822,10272353,30890633,613962,0,75207,0,10108543,28265862,0,0,"g4run","libG4processes.so","G4CascadeCoalescence::fillCluster@plt"
17405737,27826203,6784161,16944838,1200719,3580829,417533,1833226,3920314,7963798,532254,685575,"g4run","libG4processes.so","G4CascadeInterface::clear@plt"
940811694,1330498608,998699452,1306573056,99311113,149068139,15220557,25355069,614071947,829278695,26929822,32916866,"g4run","libG4processes.so","G4TwoBodyAngularDist::setVerboseLevel"
