id,cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libicuuc.so.71.1",,,,,,
"all;g4run;libG4run.so;std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > > >::find",6982479,0,324403,9044,6077336,62671
"all;g4run;libG4run.so;G4RunManager::AnalyzeEvent",3490536,0,0,0,0,0
"all;g4run;libG4run.so;G4WorkerRunManager::DoEventLoop",0,0,0,37744,0,0
"all;g4run;libG4run.so;G4MTRunManagerKernel::SetUpDecayChannels",0,0,94160,0,0,0
"all;g4run;libG4run.so;G4VUserPhysicsList::PreparePhysicsTable",0,0,0,29867,0,269804
"all;g4run;libG4run.so;G4RunManagerKernel::BuildPhysicsTables",0,0,468975,0,0,0
"all;g4run;libG4run.so;G4PhysicsListHelper::RegisterProcess",0,20117503,279732,47641,1974717,0
"all;g4run;libG4run.so;G4WorkerThread::UpdateGeometryAndPhysicsVectorFromMaster",36146,134986,707635,43229,2892406,11860
"all;g4run;libG4run.so;G4RunManager::~G4RunManager",657822,0,0,1219,0,0
"all;g4run;libG4run.so;operator new@plt",0,0,30356,0,0,0
"all;g4run;libG4run.so;G4VUserPhysicsList::BuildPhysicsTable",0,8788490,0,29368,0,312049
"all;g4run;libG4run.so;G4VUserPhysicsList::InitializeProcessManager",3486834,8433518,0,52699,2903652,0
"all;g4run;libG4run.so;G4MatScanMessenger::~G4MatScanMessenger",0,77231,0,0,0,0
"all;g4run;libG4run.so;G4MatScanMessenger::G4MatScanMessenger",0,0,0,26979,0,0
"all;g4run;libG4run.so;G4RunManager::StackPreviousEvent",3476528,0,0,0,0,0
"all;g4run;libG4particles.so",,,,,,
"all;g4run;libG4particles.so;G4Neutron::Definition",122996930346,115991353569,17173256062,1804019326,69265392853,4089721670
"all;g4run;libG4particles.so;G4IonTable::Insert",6981266,0,0,0,0,258383
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::IsInTable@plt",3487577,0,593474,0,0,0
"all;g4run;libG4particles.so;pDynamicParticleAllocator",39714128371,35610104344,7837832568,956212137,23426316340,2625076751
"all;g4run;libG4particles.so;G4AntiProton::AntiProton",0,3569686,0,0,0,0
"all;g4run;libG4particles.so;G4MuonMinus::Definition",0,4238285,2859122,665762,5735120,665254
"all;g4run;libG4particles.so;G4VDecayChannel::FillParent",17443721,3319993,1129950,732169,1892004,206435
"all;g4run;libG4particles.so;G4Lambda::Definition",1024768718,1022709881,150306308,13626494,557579305,39264210
"all;g4run;libG4particles.so;G4DecayProducts::PushProducts@plt",0,0,0,70202,0,0
"all;g4run;libG4particles.so;std::_Rb_tree_increment@plt",13959916,6801327,4399507,1318530,8123717,466824
"all;g4run;libG4particles.so;G4Triton::Definition",181364538,168316494,17088761,5987269,86084351,3926647
"all;g4run;libG4particles.so;G4KaonPlus::Definition",2464584879,2780867098,336315618,22965894,1628389811,90267493
"all;g4run;libG4particles.so;G4PDGCodeChecker::CheckPDGCode",0,0,0,64272,1813792,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::GetAtomicMass",38357999,43308055,1616797,293269,22002474,740265
"all;g4run;libG4particles.so;std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::_M_emplace_unique<std::pair<G4String, G4ParticleDefinition*> >",0,0,0,100443,0,280561
"all;g4run;libG4particles.so;CLHEP::MixMaxRng::iterate@plt",3483793,3303630,2295994,49504,1966094,0
"all;g4run;libG4particles.so;G4DecayTable::~G4DecayTable",0,0,0,0,0,218545
"all;g4run;libG4particles.so;G4PionPlus::Definition",8531334378,8012622072,1140637709,245914794,4719169586,279557028
