cycles,instructions,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,comm,dso,symbol
586093578,846883444,7939866,52670,4242437,6209,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
578832963,944913103,11107873,164569,2082859,6197,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
576539601,892543534,7336311,148747,1464485,5735,"g4run","libG4geometry.so","G4Paraboloid::SurfaceNormal"
563688501,947496705,11695373,94228,2886474,7834,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
561861316,785460234,9792352,67504,4927492,10358,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
553230214,686155545,9756846,162273,2524139,98620,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4FastList<G4Track>*>, std::_Select1st<std::pair<int const, G4FastList<G4Track>*> >, std::less<int>, std::allocator<std::pair<int const, G4FastList<G4Track>*> > >::_M_erase"
552711892,913305675,15848416,80475,6220598,17388,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetExchangeT"
548609326,712793528,13819687,102910,4557671,18466,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
543532382,852293334,7263409,34845,7489971,1578,"g4run","libG4processes.so","G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist"
539943315,955344335,9564072,33401,6183955,3552,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
538366806,883114414,11906881,67562,4311139,11518,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
533679759,863565628,14212210,79491,3790751,11755,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
532167595,820900042,10152662,55584,5412706,18432,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
529507779,808349109,8111740,41107,3419980,13882,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
526041787,885689084,11161886,101881,2903536,15798,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
521803631,1042093144,12971094,71871,5011556,17916,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
519743089,701477763,9952416,155331,1640086,9566,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
513634251,706799926,7763645,78299,3142568,12784,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
510045699,803592149,4948250,127361,1140280,4824,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
508637932,798809007,11558384,64196,3387355,5812,"g4run","libG4tracking.so","0x000000000002f81c"
507839130,791411140,11109440,75198,2794043,7464,"g4run","libG4track.so","G4Step::GetDeltaEnergy"
505971089,680789818,14980594,84424,3968500,8415,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
502988004,866010395,14864034,68429,5393000,10682,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
496068703,882548781,15620087,116541,2106745,8154,"g4run","libG4processes.so","G4ProductionCutsTable::StoreCutsInfo"
494868454,757120868,14060231,79787,4367069,24408,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
487840187,917325411,13273070,68682,5762882,29545,"g4run","libm.so.6","__ieee754_log_fma"
487663136,574243724,7982804,86831,3417560,38375,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
