cycles_ukP,comm,dso,symbol
596088513,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
594219721,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
593318483,"g4run","libG4processes.so","G4IntraNucleiCascader::copySecondaries"
587905883,"g4run","libm.so.6","__ieee754_acos_fma"
577466318,"g4run","g4run","ffunkti"
576752043,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
576376030,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
576068826,"g4run","libG4geometry.so","G4Paraboloid::SurfaceNormal"
571163474,"g4run","libG4particles.so","G4NuclideTable::GetIsotope"
570538556,"g4run","libG4processes.so","G4CascadeFinalStateAlgorithm::GenerateCosTheta"
556565225,"g4run","libG4geometry.so","field_utils::relativeError2"
540434335,"g4run","libG4particles.so","G4IonTable::FindIon"
533580522,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
527882604,"g4run","libG4track.so","G4Step::GetDeltaEnergy"
525105302,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
522255303,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
519491129,"g4run","libG4processes.so","G4CacheReference<G4MultiBodyMomentumDist*>::Destroy"
515291861,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getMultiplicity"
510587031,"g4run","libG4processes.so","G4InuclNuclei::setExitationEnergy"
508338726,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
506233418,"g4run","libG4tracking.so","0x000000000002f809"
506232645,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
492642477,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
491562671,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
488768845,"g4run","libG4processes.so","G4NucleiModel::printModel"
486700025,"g4run","libG4processes.so","G4PairProductionRelModel::InitialiseElementData"
466569488,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
464199662,"g4run","libG4processes.so","G4IntraNucleiCascader::finalize"
463548458,"g4run","libG4processes.so","G4EquilibriumEvaporator::deExcite"
462253509,"g4run","libm.so.6","__ieee754_exp_fma"
462239833,"g4run","libG4processes.so","std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_realloc_insert<std::vector<unsigned long, std::allocator<unsigned long> > const&>"
457348036,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
455980276,"g4run","libG4processes.so","G4CascadeRecoilMaker::G4CascadeRecoilMaker"
455283226,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
