cycles,faults,minor_faults,major_faults,alignment_faults,comm,dso,symbol
92823307,0,0,0,0,"g4run","libG4processes.so","G4NuclearPolarization::operator=="
92814885,0,0,0,0,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
92807742,0,0,0,0,"g4run","libG4processes.so","G4ScreeningMottCrossSection::FormFactor2UniformHelm"
92124684,0,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
91450972,0,0,0,0,"g4run","libG4geometry.so","G4InterpolationDriver<G4DormandPrince745>::~G4InterpolationDriver"
91426333,0,0,0,0,"g4run","libG4processes.so","G4SBBremTable::~G4SBBremTable"
90659297,0,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroBarNChannelData, G4KaonSampler>::printTable"
90037450,0,0,0,0,"g4run","libG4processes.so","G4OpticalParameters::GetProcessActivation"
90024709,0,0,0,0,"g4run","libG4geometry.so","G4Navigator::ComputeStepLog"
89353095,0,0,0,0,"g4run","libG4processes.so","G4LorentzConvertor::reflectionNeeded"
89341478,0,0,0,0,"g4run","libc.so.6","__memset_avx2_unaligned"
88646505,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzRotation::rotateZ"
88634501,0,0,0,0,"g4run","libG4processes.so","G4PionMinusField::~G4PionMinusField@plt"
87245607,0,0,0,0,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::SetParallelWorld"
87227400,0,0,0,0,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection"
86610469,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU@plt"
86564017,0,0,0,0,"g4run","libG4geometry.so","G4LogicalCrystalVolume::G4LogicalCrystalVolume"
86526641,0,0,0,0,"g4run","libG4particles.so","G4DynamicParticle::AllocateElectronOccupancy"
85142589,0,0,0,0,"g4run","libG4processes.so","0x00000000008b6af6"
84456555,0,0,0,0,"g4run","libG4processes.so","G4LightTargetCollider::SingleNucleonScattering"
84452606,0,0,0,0,"g4run","libG4geometry.so","G4Trap::ApproxSurfaceNormal"
84448094,0,0,0,0,"g4run","libG4processes.so","G4OpticalParameters::GetScintVerboseLevel"
84441585,0,0,0,0,"g4run","libG4processes.so","G4NeutronElasticXS::Initialise"
83766659,0,0,0,0,"g4run","libG4processes.so","G4INCL::CrossSectionsMultiPions::NNThreePi@plt"
83740233,0,0,0,0,"g4run","libG4processes.so","G4NucleiModel::zoneIntegralWoodsSaxon"
83734876,0,0,0,0,"g4run","libG4processes.so","G4ChipsProtonElasticXS::GetPTables"
82358419,0,0,0,0,"g4run","libG4track.so","G4ParticleChange::AddSecondary"
82355603,0,0,0,0,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::_M_fill_insert"
81668738,0,0,0,0,"g4run","libG4tracking.so","G4NoProcess::~G4NoProcess"
81667716,0,0,0,0,"g4run","libG4geometry.so","G4LogicalBorderSurface::~G4LogicalBorderSurface"
80987842,0,0,0,0,"g4run","libG4particles.so","G4KaonMinus::Definition"
80962055,0,0,0,0,"g4run","libG4event.so","0x0000000000068d24"
80245496,0,0,0,0,"g4run","libG4processes.so","G4ChipsPionPlusInelasticXS::GetChipsCrossSection"
79566791,0,0,0,0,"g4run","libG4event.so","0x0000000000068d70"
79565321,0,0,0,0,"g4run","libG4processes.so","G4RKPropagation::delete_EquationsAndMap"
79561648,0,0,0,0,"g4run","libG4geometry.so","G4Cons::DistanceToOut"
79553431,0,0,0,0,"g4run","libG4particles.so","G4DynamicParticle::SetDefinition"
78881393,0,0,0,0,"g4run","libG4processes.so","G4ScreeningMottCrossSection::GetScatteringAngle"
78184837,0,0,0,0,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceToIn@plt"
78182937,0,0,0,0,"g4run","libG4particles.so","G4JPsi::Definition"
76775548,0,0,0,0,"g4run","libG4geometry.so","G4PhysicalVolumeStore::DeRegister"
76080442,0,0,0,0,"g4run","libm.so.6","__strtod_nan@plt"
76073903,0,0,0,0,"g4run","libG4geometry.so","G4PolyPhiFace::Between"
76066759,0,0,0,0,"g4run","libG4geometry.so","G4ChordFinder::ApproxCurvePointV"
74689591,0,0,0,0,"g4run","libG4processes.so","G4InuclNuclei::makeNuclearFragment"
74682214,0,0,0,0,"g4run","libG4processes.so","G4RKPropagation::GetSphereIntersectionTimes"
73990393,0,0,0,0,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
73286165,0,0,0,0,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepGetPhysicalInteractionLength"
73284758,0,0,0,0,"g4run","libpythia8.so","Pythia8::NNPDF::xfxevolve"
73283981,0,0,0,0,"g4run","libG4processes.so","G4ProductionCutsTable::CheckMaterialCutsCoupleInfo"
73281225,0,0,0,0,"g4run","libG4particles.so","G4DynamicParticle::SetMomentum"
72602227,0,0,0,0,"g4run","libG4processes.so","G4LorentzConvertor::G4LorentzConvertor"
71896991,0,0,0,0,"g4run","libG4processes.so","G4RKPropagation::delete_FieldsAndMap"
71894548,0,0,0,0,"g4run","libG4track.so","0x00000000000116c7"
71879392,0,0,0,0,"g4run","libG4processes.so","G4LossTableManager::DeRegister"
71876806,0,0,0,0,"g4run","libG4processes.so","G4CascadeParamMessenger::SetNewValue"
71279336,0,0,0,0,"g4run","libG4processes.so","G4GoudsmitSaundersonTable::ComputeScatteringPowerCorrection"
71177237,0,0,0,0,"g4run","libG4processes.so","G4NucleiModel::boundaryTransition"
70502046,0,0,0,0,"g4run","libG4geometry.so","G4VIntersectionLocator::GetSurfaceNormal@plt"
70499023,0,0,0,0,"g4run","libG4processes.so","G4HETCFragment::G4HETCFragment@plt"
70490942,0,0,0,0,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeDXSectionPerAtom"
69791488,0,0,0,0,"g4run","libG4processes.so","G4NeutronElasticXS::BuildPhysicsTable"
69788521,0,0,0,0,"g4run","libG4global.so","G4ProfilerConfig<1ul>::GetPersistent<1>"
69118580,0,0,0,0,"g4run","libG4particles.so","G4MesonConstructor::ConstructLightMesons"
69112097,0,0,0,0,"g4run","libG4processes.so","G4PhotoElectricEffect::IsApplicable"
69101579,0,0,0,0,"g4run","libG4event.so","0x0000000000069d73"
67709597,0,0,0,0,"g4run","libG4particles.so","G4ExcitedSigmaConstructor::AddLambdaStarPiMode@plt"
66314387,0,0,0,0,"g4run","libG4event.so","0x000000000006a4b0"
66313199,0,0,0,0,"g4run","libG4geometry.so","G4LogicalSkinSurface::G4LogicalSkinSurface"
66311114,0,0,0,0,"g4run","libc.so.6","getenv"
66309794,0,0,0,0,"g4run","libG4processes.so","G4CascadeCheckBalance::momentumOkay"
65618137,0,0,0,0,"g4run","libG4processes.so","0x00000000008b0734"
65613553,0,0,0,0,"g4run","libG4processes.so","G4CascadeRecoilMaker::~G4CascadeRecoilMaker"
65613134,0,0,0,0,"g4run","libG4geometry.so","0x00000000000e4a2e"
65611014,0,0,0,0,"g4run","libG4processes.so","0x00000000008b60a4"
65603365,0,0,0,0,"g4run","libG4geometry.so","G4UnionSolid::GetCubicVolume"
64907649,0,0,0,0,"g4run","libG4processes.so","G4SeltzerBergerModel::FindDirectoryPath"
64221205,0,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::printTable"
63518220,0,0,0,0,"g4run","libG4event.so","0x000000000006a499"
63501769,0,0,0,0,"g4run","libG4processes.so","G4VCrossSectionDataSet::GetIsoCrossSection"
63498043,0,0,0,0,"g4run","libG4processes.so","G4eBremsstrahlungRelModel::ComputeLPMfunctions"
