id,cycles,instructions,branches,branch_misses
"all;g4run;libG4tracking;0x0000000000013cb0",250300910,330067016,48563343,777775
"all;g4run;libG4tracking;0x00000000000131b4",6614979,7859572,540041,28417
"all;g4run;libG4tracking;0x0000000000013b34",8602847,4094979,295265,50701
"all;g4run;libG4tracking;0x0000000000013cb4",443644666,681074617,99869086,1738807
"all;g4run;libG4tracking;0x00000000000131f0",9233429,6033362,1123382,19107
"all;g4run;libG4tracking;0x00000000000131f4",10609026,5507179,1259765,29420
"all;g4run;libG4tracking;0x0000000000013db0",11950561,21029794,2809254,25403
"all;g4run;libG4analysis",,,,
"all;g4run;libG4analysis;std::ios_base::Init::Init@plt",960871,0,0,0
"all;g4run;libG4intercoms",,,,
"all;g4run;libG4intercoms;G4UIparameter::G4UIparameter",0,0,0,1591
"all;g4run;libG4intercoms;std::vector<G4UIcommandTree*, std::allocator<G4UIcommandTree*> >::_M_realloc_insert<G4UIcommandTree* const&>",0,0,0,2265
"all;g4run;libG4intercoms;std::vector<G4ApplicationState, std::allocator<G4ApplicationState> >::_M_realloc_insert<G4ApplicationState>",0,0,132594,1853
"all;g4run;libG4intercoms;G4UIcommandTree::AddNewCommand",335778,1970033,0,0
"all;g4run;libG4intercoms;G4UIcmdWithAString::SetParameterName",0,0,0,2139
"all;g4run;libG4intercoms;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",0,109591,149084,0
"all;g4run;libG4intercoms;G4UIcommand::G4UIpUngetc",1008630,0,0,0
"all;g4run;libG4intercoms;G4UIcommand::G4UIcommand",0,603091,0,0
"all;g4run;libG4intercoms;0x00000000000120e4",0,0,0,1765
"all;g4run;libG4intercoms;0x0000000000012014",0,598272,0,0
"all;g4run;libG4intercoms;G4strstreambuf::overflow",0,7420111,583956,2842
"all;g4run;libG4intercoms;G4UIcommandTree::RemoveCommand",0,0,289622,0
"all;g4run;libG4intercoms;G4UImanager::SolveAlias",1007797,0,0,0
"all;g4run;libG4intercoms;G4ProfilerMessenger::G4ProfilerMessenger",0,250048,83489,0
"all;g4run;libG4intercoms;G4UIcommand::~G4UIcommand",0,1160625,243666,2489
"all;g4run;libG4intercoms;std::vector<G4UIcommand*, std::allocator<G4UIcommand*> >::_M_realloc_insert<G4UIcommand* const&>",0,0,0,1139
"all;g4run;libG4intercoms;G4UIcommand::RangeCheck",0,0,0,1710
"all;g4run;libG4intercoms;G4UImanager::fUImanager",825840,423757,0,4123
"all;g4run;libG4intercoms;G4UIcommand::AvailableForStates",0,0,330613,0
"all;g4run;libG4intercoms;G4UIparameter::~G4UIparameter",1006552,788750,0,0
"all;g4run;libG4physicslists",,,,
"all;g4run;libG4physicslists;G4DecayPhysics::ConstructProcess",764454,1308814,0,3416
"all;g4run;libG4physicslists;G4PhysicsConstructorFactory<G4EmStandardPhysics>::G4PhysicsConstructorFactory",0,0,30323,0
"all;g4run;libG4physicslists;G4StoppingPhysics::ConstructProcess",841860,0,0,6613
"all;g4run;libG4physicslists;0x00000000000756b4",0,0,0,4855
"all;g4run;libG4physicslists;G4PhysListRegistry::Instance",0,0,34490,0
"all;g4run;libG4physicslists;std::vector<G4ExcitedString*, std::allocator<G4ExcitedString*> >::_M_realloc_insert<G4ExcitedString* const&>",5330502,3928908,608060,32060
"all;g4run;libG4physicslists;_GLOBAL__sub_I_G4EmDNAPhysics_option1.cc",0,0,0,959
"all;g4run;libG4physicslists;G4PhysicsConstructorFactory<G4HadronPhysicsQGSP_BIC>::G4PhysicsConstructorFactory@plt",0,0,26414,0
"all;g4run;libG4physicslists;G4HadronicBuilder::BuildFTFP_BERT",0,0,365473,0
"all;g4run;libG4physicslists;0x0000000000071924",5364933,975080,137926,6394
"all;g4run;libG4physicslists;G4EmExtraPhysics::ConstructGammaElectroNuclear",0,0,0,1741
"all;g4run;libG4physicslists;0x0000000000071704",1969973,1016752,138958,16974
"all;g4run;libG4clhep",,,,
"all;g4run;libG4clhep;0x00000000000255e0",435507968,568935814,77232035,1529081
"all;g4run;libG4clhep;engine",16125177,26790599,8645445,27020
"all;g4run;libG4clhep;CLHEP::RandFlat::shoot",1984155,0,0,9741
"all;g4run;libG4clhep;CLHEP::Hep3Vector::operator*=",1169430893,1653101490,258643906,3999873
"all;g4run;libG4clhep;0x00000000000255e4",67209001,62701212,11139245,245324
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::beta",0,0,146476,0
"all;g4run;libG4clhep;CLHEP::(anonymous namespace)::theDefaults",20762487850,32612127098,4878254887,53846510
"all;g4run;libG4clhep;CLHEP::MixMaxRng::fmodmulM61",1005234,251124,57412,972
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::operator()",1331005,0,0,2593
"all;g4run;libG4clhep;CLHEP::HepRotation::rotate",1340623,0,0,1454
"all;g4run;libG4clhep;HepGeom::Transform3D::operator()",1007794,0,418341,1481
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::boostVector",7582931642,9805391723,1594552628,23138459
"all;g4run;libG4clhep;HepGeom::Transform3D::getDecomposition",0,0,407864,1014
"all;g4run;libG4clhep;CLHEP::MixMaxRng::iterate_raw_vec",2030078,1237463,359336,9218
"all;g4run;libG4clhep;hash_map<string, Item>::operator[]",0,0,0,2131
"all;g4run;libG4clhep;maker",0,0,423255,1734
"all;g4run;libG4clhep;CLHEP::Hep3Vector::setSpherical",537288615,652112496,93580132,1288558
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::boost",22308271128,34192629098,5141579870,53451424
"all;g4run;libG4clhep;0x0000000000024d30",1007123,0,0,0
"all;g4run;libG4clhep;CLHEP::MixMaxRng::flatArray",9624763811,12336735897,1618639352,36908912
"all;g4run;libG4clhep;CLHEP::MixMaxRng::mod128",658481,565051,288419,3855
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::rapidity",2653454,0,0,20452
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::transform",3326859,965108,0,14856
"all;g4run;libG4clhep;HepGeom::operator*",321283058,476336113,70222520,1297075
"all;g4run;libG4clhep;0x0000000000025dc0",668214736,872447483,128270908,1977521
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::operator*=",5974937,7224566,704075,43267
"all;g4run;libG4clhep;HepTool::Evaluator::evaluate",6050917,5743013,2017576,4806
"all;g4run;libG4clhep;HepTool::Evaluator::~Evaluator",0,0,0,1552
"all;g4run;libG4clhep;0x0000000000025dc4",1723391146,2389509459,334276852,5167717
"all;g4run;libG4clhep;CLHEP::RandGaussQ::transformQuick",13681695456,16967759841,2571618990,61274301
"all;g4run;libG4clhep;0x00000000000252e4",791700,0,99448,3915
"all;g4run;libG4clhep;CLHEP::HepRotation::set",0,0,0,1028
"all;g4run;libG4clhep;CLHEP::HepLorentzRotation::rotateY",1642907550,2975697173,426365279,2402165
"all;g4run;libG4clhep;CLHEP::HepLorentzRotation::rotateZ",1760661063,2522621455,351693852,2258616
"all;g4run;libG4clhep;CLHEP::HepRandom::getTheEngine",11016670659,17623794510,2705037081,24322262
"all;g4run;libG4clhep;CLHEP::HepRotation::delta",0,0,801499,4102
"all;g4run;libG4clhep;CLHEP::RandFlat::shootArray",2668397,963691,880801,3852
"all;g4run;libG4clhep;CLHEP::HepRotation::rotateX",1008753,1908108,0,1165
"all;g4run;libG4clhep;0x00000000000263e4",1980645,0,0,1532
"all;g4run;libG4clhep;CLHEP::HepRotation::rotateY",1006687,0,806795,1403
"all;g4run;libG4clhep;CLHEP::HepRotation::rotateZ",0,0,0,3299
"all;g4run;libG4clhep;CLHEP::HepRotation::rectify",1006503,1907325,2452911,3611
"all;g4run;libG4clhep;CLHEP::HepRandom::createInstance",0,0,0,1056
