id,cycles,instructions,ls_dc_accesses,ls_dispatch_ld_dispatch,ls_dispatch_store_dispatch,ls_tlb_flush
"all;g4run;libG4track;0x00000000000137d6",32079783,47676305,30141066,24181374,13031663,0
"all;g4run;libG4track;G4VParticleChange::DumpInfo",349562668,569398274,350140764,228292370,100397683,0
"all;g4run;libG4track;G4ParticleChangeForLoss::operator=",216962793,348616092,205008643,163007601,68345588,0
"all;g4run;libG4track;0x00000000000137d8",15347361,20923403,18203072,11309579,9461193,0
"all;g4run;libG4track;G4ParticleChangeForMSC::DumpInfo",549042485,634131489,426418918,324047823,118766108,0
"all;g4run;libG4track;0x000000000000c61e",698474,2199619,4052568,0,654069,0
"all;g4run;libG4track;0x00000000000101f8",2092262,2273130,2760431,2627740,227599,0
"all;g4run;libG4track;G4StepPoint::operator=",53003468,103312021,52761020,37050334,14857696,0
"all;g4run;libG4track;G4ParticleChange::DumpInfo",703155075,1094795205,733054649,477078283,260281734,0
"all;g4run;libG4track;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",307689115,435121903,276146375,208683998,94012847,0
"all;g4run;libG4track;G4ParticleChange::AddSecondary",73964374,127610259,79998073,63295521,27381740,0
"all;g4run;libG4track;G4StepPoint::G4StepPoint",36978779,35296643,29966913,17866500,9682008,0
"all;g4run;libG4track;_GLOBAL__sub_I_G4StepPoint.cc",22322041,44987456,25786252,15530837,8977283,0
"all;g4run;libG4track;G4VParticleChange::~G4VParticleChange",119281943,201781076,184193973,97757070,63527459,0
"all;g4run;libG4track;0x000000000001155f",28612674,38083120,37932995,22561155,11770463,0
"all;g4run;libG4track;0x00000000000137dc",3489900,1112295,2688149,1904204,1072996,0
"all;g4run;libG4track;_GLOBAL__sub_I_G4ParticleChangeForLoss.cc",0,0,0,0,174970,0
"all;g4run;libG4track;0x00000000000116c7",53028186,59786975,52593365,36997867,15441823,0
"all;g4run;libG4track;0x00000000000101fa",7670085,11145775,8890078,4479424,1744244,0
"all;g4run;libG4track;G4ParticleChangeForGamma::DumpInfo",2788809,2186501,1385609,478694,881826,0
"all;g4run;libG4track;std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>",1883095057,2657578805,1622940770,1246781802,527612032,0
"all;g4run;libG4track;0x000000000000f3b4",6280610,8514872,6207893,5997550,1738031,0
"all;g4run;libG4track;G4Track::G4Track",758310636,1191927597,745436737,564762690,243953426,0
"all;g4run;libG4track;G4Step::GetDeltaEnergy",489700463,813869509,507582316,372185412,142737791,0
"all;g4run;libG4track;0x000000000000f483",2093065,0,686533,523035,186945,0
"all;g4run;libG4track;G4Track::SetAuxiliaryTrackInformation",173762269,241841524,178323891,119311357,49583384,0
"all;g4run;libG4track;0x000000000000c62c",2090354,6580183,5408855,2922225,872036,0
"all;g4run;libG4track;G4ParticleChangeForMSC::Initialize",240076043,295625422,154929055,124138998,42578797,0
"all;g4run;libG4track;G4VParticleChange::CheckIt",652136367,987759746,726057250,472841268,283888507,0
"all;g4run;libG4track;G4Step::GetSecondaryInCurrentStep",276226306,455266881,261444993,210198986,89922253,0
