id,cycles_ukP
"all;g4run;libG4geometry;0x00000000001925fa",698474
"all;g4run;libG4geometry;0x00000000001946a1",698562
"all;g4run;libG4geometry;G4MagInt_Driver::AccurateAdvance",1395971
"all;g4run;libG4geometry;0x00000000001f8505",2094930
"all;g4run;libG4geometry;G4Tet::Initialize@plt",165494535
"all;g4run;libG4geometry;G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize",283510488
"all;g4run;libG4geometry;G4Navigator::ComputeStep",6700283003
"all;g4run;libG4geometry;G4LogicalSkinSurface::DumpInfo",2361583122
"all;g4run;libG4geometry;0x0000000000187094",4187671
"all;g4run;libG4geometry;G4CutTubs::SurfaceNormal",5585782
"all;g4run;libG4geometry;G4FieldTrack::G4FieldTrack",698094
"all;g4run;libG4geometry;G4VoxelNavigation::LevelLocate",384817352
"all;g4run;libG4geometry;G4VoxelSafety::SafetyForVoxelHeader",1487356760
"all;g4run;libG4geometry;G4ChordFinderDelegate<G4IntegrationDriver<G4MagIntegratorStepper> >::FindNextChord",139654855
"all;g4run;libG4geometry;0x000000000016159b",4889069
"all;g4run;libG4geometry;0x00000000001925fe",2793495
"all;g4run;libG4geometry;0x00000000001fe9bf",4887364
"all;g4run;libG4geometry;_G4cerr_p@plt",18154592
"all;g4run;libG4geometry;G4LogicalBorderSurface::DumpInfo",306524380
"all;g4run;libG4geometry;G4Box::CalculateExtent",3489740
"all;g4run;libG4geometry;G4SubtractionSolid::DistanceToIn",4481590783
"all;g4run;libG4geometry;0x00000000001946a7",698380
"all;g4run;libG4geometry;0x0000000000161e6e",11870313
"all;g4run;libG4geometry;G4NormalNavigation::LevelLocate",212283703
"all;g4run;libG4geometry;G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited",387550999
"all;g4run;libG4geometry;G4BrentLocator::EstimateIntersectionPoint",33518543
"all;g4run;libG4geometry;G4Tubs::ApproxSurfaceNormal",182244440
"all;g4run;libG4geometry;G4PolyhedraSide::GetPointOnFace",9311242123
"all;g4run;libG4geometry;G4NormalNavigation::~G4NormalNavigation",13266794
"all;g4run;libG4geometry;G4PolyconeSide::DistanceAway@plt",2095337
"all;g4run;libG4geometry;atan2@plt",34217192
"all;g4run;libG4geometry;std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>",523280249
"all;g4run;libG4geometry;G4Box::CreatePolyhedron",698319
"all;g4run;libG4geometry;G4PolyhedronEllipsoid::G4PolyhedronEllipsoid@plt",2095091
"all;g4run;libG4geometry;0x00000000001a315d",697626
"all;g4run;libG4geometry;G4GeomTestVolume::TestRecursiveOverlap@plt",1394473
"all;g4run;libG4geometry;G4ParameterisedNavigation::LevelLocate",806691631
"all;g4run;libG4geometry;G4ParameterisationTrdY::G4ParameterisationTrdY@plt",6982305
"all;g4run;libG4geometry;G4Navigator::ComputeStepLog",20249505
"all;g4run;libG4geometry;__cxa_atexit@plt",238815991
"all;g4run;libG4geometry;G4PVParameterised::CheckOverlaps",392705149
"all;g4run;libG4geometry;G4DisplacedSolid::CreatePolyhedron",3153904607
"all;g4run;libG4geometry;0x00000000000eac5d",7681917
"all;g4run;libG4geometry;0x0000000000270bad",46088281
"all;g4run;libG4geometry;G4Navigator::GetGlobalExitNormal",64239029
"all;g4run;libG4geometry;G4LogicalSkinSurface::CleanSurfaceTable",68428989
"all;g4run;libG4geometry;0x00000000001fea09",95668843
"all;g4run;libG4geometry;G4PolyhedraSide::SurfaceTriangle",305157130
"all;g4run;libG4geometry;0x0000000000255317",2094670
"all;g4run;libG4geometry;0x00000000000e516c",14665214
"all;g4run;libG4geometry;G4MagneticField::operator=",97763196
"all;g4run;libG4geometry;G4PolyhedraSide::G4PolyhedraSide",80312463135
"all;g4run;libG4geometry;G4ReflectedSolid::~G4ReflectedSolid",2793383
"all;g4run;libG4geometry;G4Box::SetZHalfLength",5586756
"all;g4run;libG4geometry;G4MagErrorStepper::Stepper",796056311
"all;g4run;libG4geometry;0x00000000001c9d86",2095360
"all;g4run;libG4geometry;G4BooleanSolid::GetCubicVolume",4189912
"all;g4run;libG4geometry;G4CutTubs::GetCutZ",697291
"all;g4run;libG4geometry;G4Tubs::operator=",6284119
"all;g4run;libG4geometry;G4PolyhedraSide::DistanceToOneSide",76811767
"all;g4run;libG4geometry;0x000000000021242e",698300
"all;g4run;libG4geometry;0x00000000001f840f",16759938
"all;g4run;libG4geometry;G4PolyPhiFace::Intersect",518825754
"all;g4run;libG4geometry;G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord",937476613
"all;g4run;libG4geometry;G4PolyconeSide::CalculateExtent",4731746930
"all;g4run;libG4geometry;0x00000000001818b9",698401
"all;g4run;libG4geometry;0x00000000001c22d7",1396480
"all;g4run;libG4geometry;G4CutTubs::DistanceToOut",3490884
"all;g4run;libG4geometry;G4PropagatorInField::ComputeStep",2530008694
"all;g4run;libG4geometry;0x00000000001870c8",2793756
"all;g4run;libG4geometry;G4TessellatedSolid::~G4TessellatedSolid@plt",15361612
"all;g4run;libG4geometry;std::vector<G4LogicalSkinSurface*, std::allocator<G4LogicalSkinSurface*> >::_M_realloc_insert<G4LogicalSkinSurface*>",280695650
"all;g4run;libG4geometry;G4Paraboloid::SurfaceNormal",437810030
"all;g4run;libG4geometry;G4LogicalSkinSurface::GetSurfaceTable",697969
"all;g4run;libG4geometry;0x000000000016167d",6284200
"all;g4run;libG4geometry;G4DisplacedSolid::GetObjectTranslation",30723876
"all;g4run;libG4geometry;G4Box::SetXHalfLength",3884849111
"all;g4run;libG4geometry;G4Trap::CheckParameters",698381
"all;g4run;libG4geometry;0x0000000000163039",4887801
"all;g4run;libG4geometry;0x00000000000f728d",2793415
"all;g4run;libG4geometry;G4BooleanSolid::GetListOfPrimitives",18153222
"all;g4run;libG4geometry;G4LogicalSkinSurface::~G4LogicalSkinSurface",222767021
"all;g4run;libG4geometry;0x0000000000193f0e",698388
"all;g4run;libG4geometry;G4MultiLevelLocator::EstimateIntersectionPoint",340753732
"all;g4run;libG4geometry;0x000000000018726e",9078834
"all;g4run;libG4geometry;G4ExtrudedSolid::GetVertex",46785339
"all;g4run;libG4geometry;G4Tubs::GetEntityType",697301
"all;g4run;libG4geometry;G4FieldTrack::LoadFromArray",87983417
"all;g4run;libG4geometry;G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper",316333575
"all;g4run;libG4geometry;0x0000000000103d07",698385
"all;g4run;libG4geometry;G4Tubs::G4Tubs",14665841
"all;g4run;libG4geometry;G4PolyPhiFace::EarInit",427355600
"all;g4run;libG4geometry;aNavigHistoryAllocator",361010263
"all;g4run;libG4geometry;G4ReflectedSolid::CreatePolyhedron",1732332220
"all;g4run;libG4geometry;0x0000000000162689",4189312
"all;g4run;libG4geometry;std::_Rb_tree_decrement@plt",13267384
"all;g4run;libG4geometry;std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > > > >::_M_emplace_unique<std::pair<G4String, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > > >",4188256
"all;g4run;libG4geometry;0x0000000000160c48",9775317
"all;g4run;libG4geometry;G4UniformElectricField::G4UniformElectricField@plt",10474589
"all;g4run;libG4geometry;G4Trap::MakePlanes",1396860
"all;g4run;libG4geometry;G4EllipticalTube::~G4EllipticalTube@plt",39100854
"all;g4run;libG4geometry;G4InterpolationDriver<G4DormandPrince745>::~G4InterpolationDriver",48879662
"all;g4run;libG4geometry;G4ReflectionFactory::ReflectPVReplica",162691424
"all;g4run;libG4geometry;G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord",10469647
"all;g4run;libG4geometry;G4PolyhedronPara::G4PolyhedronPara@plt",3491203
"all;g4run;libG4geometry;G4VCSGfaceted::DistanceToIn@plt",31421438
"all;g4run;libG4geometry;G4PolyPhiFace::Between",163397446
"all;g4run;libG4geometry;0x00000000001f850a",120101835
"all;g4run;libG4geometry;G4VIntersectionLocator::ReportReversedPoints",2094850
"all;g4run;libG4geometry;G4NavigationHistory::NewLevel@plt",5586962
"all;g4run;libG4geometry;G4PolyhedraSide::DistanceAway@plt",30717822
"all;g4run;libG4geometry;G4ElectroMagneticField::operator=@plt",124293396
"all;g4run;libG4geometry;0x000000000018709a",2094684
"all;g4run;libG4geometry;0x00000000000e4a28",11173465
"all;g4run;libG4geometry;0x00000000000f72ba",7682066
"all;g4run;libG4geometry;G4VoxelSafety::G4VoxelSafety",16059770
"all;g4run;libG4geometry;G4VPhysicalVolume::GetRotation@plt",9776775
"all;g4run;libG4geometry;G4BooleanSolid::StackPolyhedron",160192629
"all;g4run;libG4geometry;G4MultiUnion::StreamInfo",260107262
"all;g4run;libG4geometry;G4PolyhedraSide::IntersectSidePlane",1686748075
"all;g4run;libG4geometry;0x00000000001823df",2094894
"all;g4run;libG4geometry;G4LogicalSkinSurface::G4LogicalSkinSurface",48869585
"all;g4run;libG4geometry;0x0000000000103cef",87982542
"all;g4run;libG4geometry;G4MultiUnion::DistanceToInCandidates",9777609
"all;g4run;libG4geometry;0x000000000018709f",3491133
"all;g4run;libG4geometry;G4VoxelSafety::SafetyForVoxelNode",513899778
"all;g4run;libG4geometry;operator delete@plt",698436
"all;g4run;libG4geometry;G4Paraboloid::G4Paraboloid",9077666
"all;g4run;libG4geometry;0x00000000000f76c3",1396592
"all;g4run;libG4geometry;G4PolyPhiFace::IntersectProp@plt",105441485
"all;g4run;libG4geometry;0x0000000000125058",698489
"all;g4run;libG4geometry;G4ExtrudedSolid::ComputeProjectionParameters@plt",1395309
"all;g4run;libG4geometry;0x00000000001c9a68",2094454
"all;g4run;libG4geometry;G4Mag_EqRhs::SetChargeMomentumMass@plt",11173003
"all;g4run;libG4geometry;G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError",1939620106
"all;g4run;libG4geometry;memset@plt",697886
"all;g4run;libG4geometry;G4Tubs::GetPointOnSurface",5586263
"all;g4run;libG4geometry;G4ImplicitEuler::G4ImplicitEuler@plt",18154494
"all;g4run;libG4geometry;G4PolyPhiFace::Diagonalie",1198241464
"all;g4run;libG4geometry;G4MagInt_Driver::QuickAdvance",698369
"all;g4run;libG4geometry;0x00000000001fea0d",11170832
"all;g4run;libG4geometry;G4Paraboloid::StreamInfo",544165597
"all;g4run;libG4geometry;G4Tubs::SurfaceNormal",799695240
"all;g4run;libG4geometry;0x000000000025531b",2093462
"all;g4run;libG4geometry;0x00000000001fea0e",13267362
"all;g4run;libG4geometry;G4ModifiedMidpoint::DoStep",30725277
"all;g4run;libG4geometry;G4Trd::ApproxSurfaceNormal",4188518
"all;g4run;libG4geometry;G4ExtrudedSolid::StreamInfo",4222606794
