      28465443   103880498    14817111       76150  libG4geometry.so       [.] G4BoundingEnvelope::CheckBoundingPolygons
      27873539    32946273     2426741       48083  libG4processes.so      [.] G4BraggIonModel::ElectronicStoppingPower
      26848696    52259771    13818845       19787  libstdc++.so.6.0.30    [.] std::string::push_back
      26828901    63081923     8892995       33909  libstdc++.so.6.0.30    [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get
      26473806    58718277    10485997       90283  libc.so.6              [.] __memmove_avx_unaligned
      25873939    38509000     9414110       46104  libG4materials.so      [.] G4AtomicShells::GetNumberOfElectrons
      25780086    20979738     4244497       59528  libG4processes.so      [.] G4EmModelManager::FillDEDXVector
      24841076    46512308    13234008      139278  libG4processes.so      [.] G4ICRU73QOModel::GetOscillatorEnergy
      23752014    38500268     9281225       30129  libG4processes.so      [.] G4eCoulombScatteringModel::ComputeCrossSectionPerAtom
      23553592    49411110     3393776       27403  libG4processes.so      [.] G4KleinNishinaCompton::ComputeCrossSectionPerAtom
      22865364    54628259    10686389       15949  libicuuc.so.70.1       [.] ucnv_fromUnicode_70
      22823203    39695509    10715038       24736  libstdc++.so.6.0.30    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare
      21914657    61045903    14312128       53462  libc.so.6              [.] __GI_____strtoll_l_internal
      21902008    63895462    13444680       59074  libG4processes.so      [.] G4LevelReader::ReadDataItem
      21879755   110486191    17222111      220806  libG4processes.so      [.] G4ICRU73QOModel::GetL1
      21839107    30210741     4745091       16989  libG4processes.so      [.] G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom
      20901082    29276492     5149620      127746  libG4processes.so      [.] G4LivermoreRayleighModel::ComputeCrossSectionPerAtom
      20868965    49947426     8839806       27305  libicuuc.so.70.1       [.] ucnv_fromUChars_70
      20666063    33124458     6172659       59441  libG4geometry.so       [.] G4BoundingEnvelope::BoundingBoxVsVoxelLimits
      20661101    54087267    14988770      117036  libstdc++.so.6.0.30    [.] operator delete
      20127024    22418155     2797468       19628  libG4processes.so      [.] G4EmElementSelector::Initialise
      19996289    37129585     6090616        4363  [kernel.kallsyms]      [k] zap_pte_range
      19882070    27549806     6978868        9191  libxerces-c-3.2.so     [.] xercesc_3_2::XMLString::release
      19853883    18595132     3250532       29153  libG4global.so         [.] G4PhysicsLogVector::G4PhysicsLogVector
      18895904    36874699     6217990       19414  libstdc++.so.6.0.30    [.] std::__convert_to_v<double>
      18873675    37042850     6444943       32486  libG4clhep.so          [.] engine
      18758767    37617316     6885715       53444  libG4processes.so      [.] 0x00000000003abd10
      18676601    32265062    12353619       95229  libG4geometry.so       [.] G4SmartVoxelHeader::BuildVoxelsWithinLimits
      18528929    31303530     5740217       98618  libG4geometry.so       [.] G4SmartVoxelHeader::~G4SmartVoxelHeader
      18495946    19021531     2886952       13448  libG4geometry.so       [.] G4GeometryWorkspace::DestroyWorkspace
      17971855    65912865     7649196       50199  libstdc++.so.6.0.30    [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<long>
      17905696    58793644     9983920       44058  libc.so.6              [.] __mpn_mul_1
      17826008    27615502     2681091       28497  libG4processes.so      [.] G4BetheBlochModel::CrossSectionPerVolume
      17724932    48890033     8294517       58788  libG4geometry.so       [.] G4VPhysicalVolume::GetTranslation
      16905662    38556067     8597523       22912  libG4persistency.so    [.] G4GDMLRead::Transcode
