id,value,prev,curr
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_copy<false, std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_Alloc_node>",22240851,22240851,0
"all;athena.py;libHepMC;std::_Rb_tree_decrement@plt",2078594,0,2078594
"all;athena.py;libHepMC;HepMC::GenEvent::set_barcode",404114591,242840431,161274160
"all;athena.py;libHepMC;HepMC::GenParticle::GenParticle",12422446,8276683,4145763
"all;athena.py;libHepMC;HepMC::GenEvent::set_barcode@plt",2001257,2001257,0
"all;athena.py;libHepMC;HepMC::GenEvent::add_vertex",70401381,43446512,26954869
"all;athena.py;libHepMC;HepMC::GenVertex::add_particle_in",74702121,33208741,41493380
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::operator*@plt",2074136,0,2074136
"all;athena.py;libHepMC;HepMC::GenVertex::add_particle_out",51324155,31128794,20195361
"all;athena.py;libHepMC;operator delete@plt",7999579,1790113,6209466
"all;athena.py;libHepMC;HepMC::Polarization::valid_theta",45653343,10336859,35316484
"all;athena.py;libHepMC;HepMC::GenParticle::suggest_barcode",12461195,4150399,8310796
"all;athena.py;libHepMC;HepMC::WeightContainer::WeightContainer",27002800,14531183,12471617
"all;athena.py;libHepMC;HepMC::Polarization::valid_phi",4151767,2077986,2073781
"all;athena.py;libHepMC;HepMC::GenVertex::delete_adopted_particles",165782265,83295174,82487091
"all;athena.py;libHepMC;std::vector<HepMC::GenParticle*, std::allocator<HepMC::GenParticle*> >::_M_realloc_insert",49800518,20746196,29054322
"all;athena.py;libHepMC;memmove@plt",2074635,0,2074635
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, HepMC::GenVertex*>, std::_Select1st<std::pair<int const, HepMC::GenVertex*> >, std::greater<int>, std::allocator<std::pair<int const, HepMC::GenVertex*> > >::_M_insert_unique_<std::_Rb_tree<int, std::pair<int const, HepMC::GenVertex*>, std::_Select1st<std::pair<int const, HepMC::GenVertex*> >, std::greater<int>, std::allocator<std::pair<int const, HepMC::GenVertex*> > >::_Alloc_node>",29059159,24905167,4153992
"all;athena.py;libHepMC;HepMC::WeightContainer::set_default_names@plt",2078376,2078376,0
"all;athena.py;libHepMC;HepMC::GenVertex::particle_iterator::~particle_iterator",6210600,0,6210600
"all;athena.py;libHepMC;std::ios_base::ios_base@plt",10385672,0,10385672
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::operator*",16401684,12255941,4145743
"all;athena.py;libHepMC;HepMC::GenParticle::generated_mass",6081484,4008622,2072862
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::edge_iterator",7734527,0,7734527
"all;athena.py;libHepMC;HepMC::Polarization::valid_phi@plt",2074234,2074234,0
"all;athena.py;libHepMC;HepMC::WeightContainer::set_default_names",120475034,68543600,51931434
"all;athena.py;libHepMC;HepMC::GenVertex::GenVertex",35284182,16615123,18669059
"all;athena.py;libHepMC;std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_M_insert_unique_<std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_Alloc_node>",31160866,12461385,18699481
"all;athena.py;libHepMC;std::_Rb_tree_insert_and_rebalance@plt",10363441,6228032,4135409
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, HepMC::GenParticle*>, std::_Select1st<std::pair<int const, HepMC::GenParticle*> >, std::less<int>, std::allocator<std::pair<int const, HepMC::GenParticle*> > >::erase",86485182,55765785,30719397
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, HepMC::GenParticle*>, std::_Select1st<std::pair<int const, HepMC::GenParticle*> >, std::less<int>, std::allocator<std::pair<int const, HepMC::GenParticle*> > >::_M_insert_unique_<std::_Rb_tree<int, std::pair<int const, HepMC::GenParticle*>, std::_Select1st<std::pair<int const, HepMC::GenParticle*> >, std::less<int>, std::allocator<std::pair<int const, HepMC::GenParticle*> > >::_Alloc_node>",29035148,14525722,14509426
"all;athena.py;libHepMC;HepMC::GenVertex::particle_iterator::advance_to_first_",4146412,2073620,2072792
"all;athena.py;libHepMC;HepMC::GenVertex::~GenVertex",7972386,1771487,6200899
"all;athena.py;libHepMC;HepMC::GenVertex::particle_iterator::operator++",2073195,0,2073195
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_copy<std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_Alloc_node>",10342758,0,10342758
"all;athena.py;libHepMC;HepMC::GenVertex::suggest_barcode",22824884,12441211,10383673
"all;athena.py;libHepMC;HepMC::GenVertex::particle_iterator::particle_iterator",2068525,0,2068525
