id,cycles,instructions,l2_itlb_misses,l2_dtlb_misses
"all;g4run;libG4event;0x000000000006a4ab",1396131,1088307,0,0
"all;g4run;libG4event;0x0000000000069d6b",2786481,1019548,102,289
"all;g4run;libG4event;G4SPSAngDistribution::GenerateUserDefTheta",0,1437434,0,199
"all;g4run;libG4event;0x0000000000068eab",3491458,13065303,305,2444
"all;g4run;libG4event;0x0000000000068d2f",2095423,7693210,20,626
"all;g4run;libG4event;0x0000000000069d6f",14654129,17988115,764,4504
"all;g4run;libG4event;0x0000000000069d53",9072237,10496008,123,1639
"all;g4run;libG4event;0x000000000006a4b0",99118050,148563002,6215,36503
"all;g4run;libG4event;0x0000000000069d73",87918760,124233335,8226,31402
"all;g4run;libG4event;std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert",170998865,232277952,9461,37122
"all;g4run;libG4event;0x000000000006a40d",0,1052696,19,245
"all;g4run;libG4event;0x000000000006a4b4",698355,1038481,104,546
"all;g4run;libG4event;0x0000000000069d75",694865,2167700,0,135
"all;g4run;libG4event;0x0000000000068e2c",298308039,529952300,4421,19286
"all;g4run;libG4event;0x0000000000068d70",85139409,136114046,6842,24410
"all;g4run;libG4event;0x0000000000068d71",20234830,31436443,1723,6081
"all;g4run;libG4event;0x0000000000068d78",13261197,20538414,517,2141
"all;g4run;libG4event;0x000000000006a413",698470,987117,0,0
"all;g4run;libG4event;0x0000000000068d79",2787449,1135373,0,75
"all;g4run;libG4event;0x0000000000069da5",697481,0,126,755
"all;g4run;libG4event;G4GeneralParticleSource::GeneratePrimaryVertex",0,0,0,23
"all;g4run;libG4event;0x0000000000068e30",3487100,1176388,52,0
"all;g4run;libG4event;0x0000000000068e34",0,0,27,0
"all;g4run;libG4event;G4GeneralParticleSource::ListSource",823750779,1334765921,25116,131136
"all;g4run;libG4event;G4SPSAngDistribution::SetAngDistType",697738,0,0,0
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",4880273,5298474,141,1403
"all;g4run;libG4event;0x0000000000069d5a",9772063,24671508,1001,4735
"all;g4run;libG4event;G4AdjointStackingAction::ClassifyNewTrack",0,1065244,18,0
"all;g4run;libG4event;G4GeneralParticleSourceData::~G4GeneralParticleSourceData",499193977,778967134,8645,44114
"all;g4run;libG4event;0x000000000006a495",7677816,9729677,556,3772
"all;g4run;libG4event;0x0000000000069d7e",9074519,8802433,168,2098
"all;g4run;libG4event;0x0000000000069d40",12568445,7382729,1784,6725
"all;g4run;libG4event;0x0000000000069d41",11170252,10431654,591,3183
"all;g4run;libG4event;0x000000000006a499",73961319,104250224,4865,26528
"all;g4run;libG4event;0x0000000000069d44",4186757,4997735,408,2105
"all;g4run;libG4event;0x0000000000069d46",3489443,11085165,262,1393
"all;g4run;libG4event;0x0000000000068d20",265857964,488678946,4118,19948
"all;g4run;libG4event;0x0000000000069d48",0,1105204,17,238
"all;g4run;libG4event;0x0000000000069d9f",65213,2106475,0,646
"all;g4run;libG4event;0x0000000000068ea0",2093954,0,33,285
"all;g4run;libG4event;0x0000000000069d63",698378,1050028,26,0
