id,instructions,uops_dispatched,uops_retired,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libG4event;0x0000000000069d6f",18481668,7685992,8296231,3669758,10999852,880758
"all;g4run;libG4event;0x0000000000069d8a",1146646,0,0,0,1675217,0
"all;g4run;libG4event;0x0000000000069d53",11973079,3613306,6729206,1076930,2758251,0
"all;g4run;libG4event;0x000000000006a4b0",117643273,139799141,103217391,20419540,116434997,14489823
"all;g4run;libG4event;0x0000000000069d73",96687905,114769896,90005173,18802785,101395696,10072572
"all;g4run;libG4event;std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert",231313106,257947608,223021055,34447728,172230635,47122467
"all;g4run;libG4event;0x000000000006a40d",0,0,0,0,960726,0
"all;g4run;libG4event;0x000000000006a4b4",0,1241525,1143869,0,873437,280732
"all;g4run;libG4event;0x0000000000069d75",0,1365886,4698396,131915,926204,0
"all;g4run;libG4event;0x0000000000068e2c",409236893,391359896,462100969,22387620,394879351,87911908
"all;g4run;libG4event;0x0000000000068d70",78909802,154127088,111994771,21528659,95195040,19661750
"all;g4run;libG4event;0x0000000000068d71",16031171,20781746,14090297,3719171,18223114,2018641
"all;g4run;libG4event;0x0000000000068d74",0,0,0,163745,0,0
"all;g4run;libG4event;0x0000000000068d78",12848339,16196276,18912978,1742410,17589693,1192694
"all;g4run;libG4event;0x000000000006a413",0,0,0,0,0,288584
"all;g4run;libG4event;0x0000000000068d79",2081351,5074271,1128145,0,909503,369292
"all;g4run;libG4event;0x0000000000069da5",0,0,1136005,0,0,0
"all;g4run;libG4event;0x0000000000068e30",2190707,1230255,0,158200,756831,884128
"all;g4run;libG4event;G4GeneralParticleSource::ListSource",1026540654,1196419477,1183895332,103385964,1022852479,217720646
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",2153436,3923588,4589774,1118542,6779010,502293
