id,instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses
"all;g4run;libG4clhep;CLHEP::HepRotation::rotate",0,0,0,2931
"all;g4run;libG4clhep;HepGeom::Transform3D::operator()",0,1683372,32759,0
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::boostVector",10316321227,5823533493,223560751,94426122
"all;g4run;libG4clhep;HepGeom::Transform3D::getDecomposition",9147753,1641321,40987,23911
"all;g4run;libG4clhep;CLHEP::MixMaxRng::iterate_raw_vec",3906264,1082855,0,0
"all;g4run;libG4clhep;maker",0,0,0,7990
"all;g4run;libG4clhep;CLHEP::Hep3Vector::setSpherical",662068137,393666750,4617018,2958442
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::boost",34348064672,16681208905,728528104,211210176
"all;g4run;libG4clhep;0x0000000000024d30",1950515,0,0,7473
"all;g4run;libG4clhep;CLHEP::MixMaxRng::flatArray",12181510817,8205228648,662293925,79837752
"all;g4run;libG4clhep;0x0000000000024d34",0,0,0,8555
"all;g4run;libG4clhep;CLHEP::Hep3Vector::rotate",0,640637,0,4554
"all;g4run;libG4clhep;CLHEP::MixMaxRng::mod128",900234,0,48595,0
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::transform",0,1929598,48929,16095
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::rapidity",961036,0,0,8256
"all;g4run;libG4clhep;HepGeom::operator*",455698061,288271419,27982859,1141013
"all;g4run;libG4clhep;0x0000000000025dc0",1485039312,957991473,81588133,8988029
"all;g4run;libG4clhep;CLHEP::HepLorentzVector::operator*=",5064589,7641002,59817,64224
"all;g4run;libG4clhep;HepTool::Evaluator::evaluate",5763721,3302017,31259,32959
"all;g4run;libG4clhep;0x0000000000025dc4",1662715855,1045309336,95838348,11106136
"all;g4run;libG4clhep;CLHEP::RandGaussQ::transformQuick",17738900731,10675789743,893605244,84207314
"all;g4run;libG4clhep;CLHEP::HepLorentzRotation::matrixMultiplication",1198050,0,0,4508
"all;g4run;libG4clhep;CLHEP::HepRotation::set",0,827225,0,0
"all;g4run;libG4clhep;HepGeom::Transform3D::inverse",0,815262,0,0
"all;g4run;libG4clhep;0x0000000000025200",1926934,0,0,0
"all;g4run;libG4clhep;CLHEP::HepLorentzRotation::rotateY",2863017176,1794642319,112179964,11124698
