id,cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libc",,,,,,
"all;g4run;libG4global;0x00000000000564c8",3485260,719613,20918,646673,10032,19
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",32091870,5328608,103397,4955796,87672,556
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",0,0,2541,0,1507,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",4187479,461504,12148,96780,14260,39
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",16044946,1710211,85636,1643972,64877,154
"all;g4run;libG4global;G4PhysicsVector::Retrieve",366272123,59992628,1836328,46704866,1061599,5915
"all;g4run;libG4global;G4PhysicsVector::Store@plt",0,486907,0,227479,0,19
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",2788687,509977,18795,553339,14083,133
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr_",697949,0,0,0,1123,0
"all;g4run;libG4global;std::_Rb_tree_decrement@plt",0,0,0,0,0,18
"all;g4run;libG4global;0x0000000000054995",2792025,314047,10843,1021386,13667,78
"all;g4run;libG4global;0x0000000000038eda",0,0,2176,0,0,0
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",62772162,13584182,236238,10404565,138787,1272
"all;g4run;libG4global;0x0000000000054997",8372085,2153736,65633,1942888,27794,256
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",1394054,150458,7313,171857,0,20
"all;g4run;libG4global;0x00000000000564cc",1396815,665373,8155,226027,3936,19
"all;g4run;libG4global;0x00000000000564ce",4185942,943980,12196,558809,5005,79
"all;g4run;libG4global;G4SimpleIntegration::Gauss",0,0,6899,68569,0,0
"all;g4run;libG4global;G4Physics2DVector::CopyData",191843990,34253028,1121236,25609340,629173,3056
"all;g4run;libG4global;std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::~_Vector_base@plt",0,177252,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",5583626,669123,57838,963294,30946,118
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",14651653,6628979,72922,4110630,36550,311
"all;g4run;libG4global;G4SimpleIntegration::MidPoint",0,0,4713,0,1714,0
"all;g4run;libG4global;G4Pow::G4Pow",80920806,18711930,432882,8025846,341240,1814
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",497102892,83466326,2598662,62706575,1421607,8166
"all;g4run;libG4global;G4Physics2DVector::Retrieve",30018677,11329332,156567,5222691,99897,656
"all;g4run;libG4global;0x000000000005499e",16053823,3032762,79943,1977748,63096,176
"all;g4run;libG4global;G4Physics2DVector::PutVectors",90696425,15859947,453529,11060090,285433,1622
"all;g4run;libG4global;0x0000000000036aa4",0,0,0,88787,0,0
"all;g4run;libG4global;0x0000000000036aa8",698353,0,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",12557349,2262637,46269,641936,39172,97
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNewEstimate",698399,0,6893,107227,2976,19
"all;g4run;libG4global;operator<<",693360,0,0,0,0,0
"all;g4run;libG4global;G4Pow::A13High@plt",0,0,0,0,0,20
"all;g4run;libG4global;G4JTPolynomialSolver::RealPolynomialIteration",698479,165464,7215,180449,2855,20
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistentFallback<0>@plt",0,527159,2395,0,2472,18
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",29314442,4265766,164488,2473705,145394,575
"all;g4run;libG4global;G4SimpleIntegration::Trapezoidal",1396311,0,2897,0,0,0
"all;g4run;g4run",,,,,,
"all;g4run;g4run;CMSMagneticField::GetFieldValue",10350022851,2771996424,24758556,1775286415,15745677,148935
"all;g4run;g4run;CLHEP::MixMaxRng::iterate@plt",0,175687,0,98916,0,0
"all;g4run;g4run;ffunkti",520881079,126594767,998989,78905872,529033,6740
"all;g4run;g4run;CLHEP::MixMaxRng::flat",698688,0,0,107761,1342,0
"all;g4run;g4run;_init",0,0,0,0,1109,19
"all;g4run;libG4event",,,,,,
"all;g4run;libG4event;0x0000000000068db1",6979161,1555373,6498,531432,10078,96
"all;g4run;libG4event;0x0000000000069d4a",0,0,1824,94120,1129,19
"all;g4run;libG4event;0x0000000000068e48",698246,0,12799,307551,1679,0
"all;g4run;libG4event;0x0000000000069d4d",1396559,367923,7784,111758,4897,20
"all;g4run;libG4event;0x0000000000068db6",14652532,3000370,33848,1132195,24216,217
"all;g4run;libG4event;0x0000000000068db8",16050997,3328017,16681,2007024,16931,175
"all;g4run;libG4event;0x0000000000068d2b",0,329310,2285,0,0,19
"all;g4run;libG4event;0x000000000006a4ab",0,0,2240,0,0,0
"all;g4run;libG4event;0x0000000000069d6b",2093734,216940,5324,311458,1236,0
"all;g4run;libG4event;0x0000000000068eab",6282394,851640,16642,1051503,14045,99
"all;g4run;libG4event;0x0000000000068d2f",3491001,987078,2467,907973,0,0
"all;g4run;libG4event;0x0000000000069d6f",6973490,2480972,25823,1524995,32134,40
"all;g4run;libG4event;0x0000000000069d8d",698413,0,0,0,1080,0
"all;g4run;libG4event;0x0000000000069d53",3486943,1248730,21240,564085,12634,78
"all;g4run;libG4event;0x000000000006a4b0",71861554,12436050,257038,10572801,195601,1565
"all;g4run;libG4event;0x0000000000069d73",88557313,12534701,254316,10607491,179027,1389
"all;g4run;libG4event;std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert",154191223,32750560,432480,19990939,288754,3383
"all;g4run;libG4event;0x000000000006a4b4",696711,159480,0,0,0,0
"all;g4run;libG4event;0x000000000006a40d",698337,0,0,0,2729,38
"all;g4run;libG4event;0x0000000000069d75",1396228,0,2415,0,0,0
"all;g4run;libG4event;0x0000000000068e2c",226073894,46945955,230481,29804590,165603,3633
"all;g4run;libG4event;0x0000000000068d70",82327857,15099587,278842,10957613,155646,1359
"all;g4run;libG4event;0x0000000000068d71",18834661,4638609,45133,2543176,36864,254
"all;g4run;libG4event;0x0000000000068d74",698199,0,0,0,0,0
"all;g4run;libG4event;0x0000000000068d76",0,349930,0,0,0,0
"all;g4run;libG4event;0x0000000000068d78",9073565,2302018,22363,1408120,9548,81
"all;g4run;libG4event;0x0000000000068d79",0,0,1534,102271,2414,21
"all;g4run;libG4event;0x0000000000069da5",0,0,2216,101077,0,19
"all;g4run;libG4event;0x0000000000068e30",698417,161587,2539,0,2447,0
"all;g4run;libG4event;G4GeneralParticleSource::ListSource",683075926,128081752,1406589,84075575,954615,10581
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",695524,632746,7026,103701,8647,57
"all;g4run;libG4event;0x0000000000069d5a",11156415,2094662,41344,1715716,11823,295
"all;g4run;libG4event;G4AdjointStackingAction::ClassifyNewTrack",0,157923,3389,103854,1071,0
"all;g4run;libG4event;G4GeneralParticleSourceData::~G4GeneralParticleSourceData",375686432,73089581,473260,46325325,318306,5090
"all;g4run;libG4event;0x000000000006a495",9070333,1729544,50679,1326073,19266,120
"all;g4run;libG4event;0x0000000000069d7e",3476424,1365134,15869,640970,11482,120
"all;g4run;libG4event;0x0000000000069d40",11859608,2087274,54918,1439779,40477,173
"all;g4run;libG4event;0x0000000000069d41",6976893,862443,22326,519455,13801,139
"all;g4run;libG4event;0x000000000006a499",63492739,8980361,282537,9355828,161009,1327
"all;g4run;libG4event;0x0000000000069d44",9076674,1536753,12938,776215,17121,77
"all;g4run;libG4event;0x0000000000069d46",4184395,507310,8262,697325,8406,106
"all;g4run;libG4event;0x0000000000068d20",197897134,41033821,198009,25176123,140504,2798
"all;g4run;libG4event;0x0000000000068ea0",0,0,0,0,3850,19
"all;g4run;libG4event;0x0000000000069d9f",697853,0,3717,0,2437,38
"all;g4run;libG4event;0x0000000000069d48",2093741,161946,0,134238,1551,19
"all;g4run;libG4event;0x0000000000069d63",1394987,0,2101,0,0,0
"all;g4run;libG4event;0x0000000000068d24",82337052,14190734,75796,10905405,53967,1453
"all;g4run;libG4event;0x0000000000068ea2",9067903,1483999,58990,228001,32221,154
"all;g4run;libG4event;0x0000000000068d7d",9073310,2382526,14608,935428,3714,201
"all;g4run;libG4event;0x0000000000069d67",0,0,0,0,3138,0
"all;g4run;libG4event;0x0000000000068d28",191195140,34402119,197371,20849241,129049,2756
"all;g4run;libG4event;0x000000000006a4a7",314702195,71027748,1235895,44810339,817394,5236
"all;g4run;libG4event;0x0000000000068ea6",9071444,2159330,16166,1112090,17636,157
"all;g4run;libG4event;0x0000000000068ea9",1396838,317590,2011,0,1601,0
"all;g4run;libG4event;0x0000000000069d83",4181849,672821,9954,104270,6320,57
"all;g4run;libG4event;0x0000000000069dac",6975980,1018624,18098,1015185,12731,115
"all;g4run;libG4event;0x000000000006a41d",13949234,2554663,57635,2258088,40500,238
"all;g4run;libG4event;0x000000000006a41e",698362,0,0,100245,2548,0
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::SetNewValue",2092130,320149,1854,315070,0,39
"all;g4run;libG4event;0x0000000000069d87",30693861,5609926,122712,3685698,85282,545
"all;g4run;libG4event;0x0000000000068e3c",2792487,156940,10085,85613,6631,21
"all;g4run;libG4event;0x000000000006a400",698447,539070,3325,295515,1034,20
"all;g4run;libG4event;0x000000000006a404",698279,323642,2191,202567,1009,80
"all;g4run;libG4event;0x0000000000068d83",4883923,2766912,30003,1351842,14047,278
"all;g4run;libG4event;G4SPSRandomGenerator::GenRandPosTheta@plt",0,207147,0,0,0,21
"all;g4run;libG4event;0x0000000000068dae",0,0,0,97134,0,0
"all;g4run;libG4event;G4IonTable::GetIon@plt",16046613,4182989,71196,1633242,37348,175
"all;g4run;libG4event;0x0000000000069db3",696443,623997,0,93126,4806,0
"all;g4run;libG4event;0x0000000000068e24",12684445,2382956,56383,2639864,36204,241
"all;g4run;libG4event;std::unique_lock<std::mutex>::unlock",377427287,64314292,375946,44390274,221263,3969
"all;g4run;libG4event;0x000000000006a427",0,0,0,0,0,19
"all;g4run;libG4event;0x0000000000069db6",5580737,1437935,31476,728734,7420,19
"all;g4run;libG4event;0x0000000000068e40",1396845,0,0,104460,0,19
"all;g4run;libG4event;0x0000000000068e28",6977666,2131176,36625,1522166,15435,141
"all;g4run;libG4event;0x0000000000068e43",1395717,694038,4090,228707,4433,19
"all;g4run;libG4event;0x0000000000068e44",16748361,2897856,32510,2913924,22151,356
"all;g4run;libG4event;G4EventManager::ProcessOneEvent",1396673,0,5552,0,0,20
"all;g4run;libG4event;0x000000000006a49d",2786336,689174,15381,315650,4307,139
"all;g4run;libstdc++",,,,,,
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign",0,0,0,0,2526,0
"all;g4run;libstdc++;std::ostream::sentry::sentry",693547,0,0,0,0,0
"all;g4run;libstdc++;free@plt",698388,0,2273,0,1463,19
"all;g4run;libstdc++;operator delete@plt",4882200,496221,21317,327325,25354,76
"all;g4run;libstdc++;__cxxabiv1::__si_class_type_info::__do_dyncast",509303087,127911335,2073247,83552865,1286540,8058
"all;g4run;libstdc++;std::_Rb_tree_decrement",0,0,2526,0,1552,0
"all;g4run;libstdc++;malloc@plt",698426,383786,3985,112710,9208,38
"all;g4run;libstdc++;strcmp@plt",692153,371870,9797,128824,4703,38
"all;g4run;libstdc++;std::__num_base::_S_format_float",697002,0,0,0,0,0
"all;g4run;libstdc++;memcpy@plt",695523,0,0,0,4499,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace",0,0,0,0,1318,19
"all;g4run;libstdc++;__cxxabiv1::__vmi_class_type_info::__do_dyncast",0,0,0,0,1547,19
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",10459587,1081349,39417,1173207,26999,174
"all;g4run;libstdc++;operator new",37025371,5720712,171695,3373842,162383,615
"all;g4run;libstdc++;__dynamic_cast",756888008,192660580,2949929,137105835,1782446,12564
"all;g4run;libstdc++;std::_Rb_tree_increment",48859536,1809892,114414,1489787,58341,388
"all;g4run;libstdc++;std::_Rb_tree_insert_and_rebalance",0,0,6523,221877,4284,38
"all;g4run;libstdc++;operator new@plt",1394839,0,0,0,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve",4881616,510849,27204,429367,21757,116
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",48842879,14108371,277434,7797724,164219,915
"all;g4run;libstdc++;operator delete[]",0,0,0,0,1259,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",0,0,17127,215453,7939,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",698381,181442,6310,102270,1162,19
"all;g4run;libstdc++;operator delete",7679042,1509088,95676,1370636,56044,212
"all;g4run;libG4vis_management",,,,,,
"all;g4run;libG4vis_management;G4VisCommandViewerList::SetNewValue",0,0,0,92470,8810,19
"all;g4run;libG4track",,,,,,
"all;g4run;libG4track;G4ParticleChangeForMSC::CheckIt",281196262,53138241,962623,28992049,592284,4401
"all;g4run;libG4track;G4ParticleChange::CheckIt",15346986,1908732,28529,718237,37842,96
"all;g4run;libG4track;G4ParticleChangeForLoss::G4ParticleChangeForLoss",4189360,824314,43862,462267,21593,140
"all;g4run;libG4track;G4ParticleChangeForGamma::CheckIt",0,0,4816,0,3950,0
"all;g4run;libG4track;0x00000000000137d6",40458521,7417298,131888,4382439,77364,742
"all;g4run;libG4track;G4VParticleChange::DumpInfo",357916997,86765783,1369485,54790528,854254,6430
"all;g4run;libG4track;G4ParticleChangeForLoss::operator=",259023059,57192515,880888,35375695,536883,3886
"all;g4run;libG4track;0x00000000000137d8",11148307,2291584,8571,1562387,17453,175
"all;g4run;libG4track;G4ParticleChangeForMSC::DumpInfo",603728284,111752237,2231334,81781262,1272798,8110
"all;g4run;libG4track;0x000000000000c61e",1396554,742568,3550,109307,1231,19
"all;g4run;libG4track;0x00000000000101f8",2089668,174699,3898,378224,2631,0
"all;g4run;libG4track;G4StepPoint::operator=",47441549,13178638,201518,10005484,107615,1063
"all;g4run;libG4track;G4ParticleChange::DumpInfo",504375623,121516831,1056327,80547320,590306,7146
"all;g4run;libG4track;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",339026185,64690828,1283564,45950683,789903,5150
"all;g4run;libG4track;G4ParticleChange::AddSecondary",698047,0,1972,0,1615,0
"all;g4run;libG4track;G4StepPoint::G4StepPoint",32790754,7058303,79111,4124969,41944,451
"all;g4run;libG4track;_GLOBAL__sub_I_G4StepPoint.cc",23021920,5898201,70518,1993126,50264,354
"all;g4run;libG4track;G4VParticleChange::~G4VParticleChange",146501688,25669134,224115,18415150,134877,2086
"all;g4run;libG4track;0x000000000001155f",35584843,9356324,118279,6656113,86455,754
"all;g4run;libG4track;0x00000000000137dc",3491265,357404,0,96513,0,42
"all;g4run;libG4track;0x00000000000116c7",73263576,13873361,119448,7537722,58851,731
"all;g4run;libG4track;0x00000000000101fa",9067135,1624482,26151,1323044,11054,213
"all;g4run;libG4track;G4ParticleChangeForGamma::DumpInfo",698558,0,2891,0,3297,20
"all;g4run;libG4track;std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>",2104238270,485919137,4597228,311345224,2736910,27925
"all;g4run;libG4track;0x000000000000f3b4",11861343,2420994,56082,1095051,79807,278
"all;g4run;libG4track;G4Track::G4Track",855238394,195243405,2088121,132948207,1379351,11468
"all;g4run;libG4track;G4Step::GetDeltaEnergy",519474895,131447309,1538372,82648123,1007316,8618
"all;g4run;libG4track;0x000000000000f3b8",0,0,1795,0,0,0
"all;g4run;libG4track;0x000000000000f483",0,492708,7276,0,4154,20
"all;g4run;libG4track;G4Track::SetAuxiliaryTrackInformation",201626674,42705606,786215,24848922,467175,3478
