id,cycles,ex_div_busy,ex_div_count
"all;g4run;libG4geometry;0x00000000001f8505",1395050,0,0
"all;g4run;libG4geometry;0x00000000001925fa",1396005,0,0
"all;g4run;libG4geometry;G4Tet::Initialize@plt",123523176,6153,169
"all;g4run;libG4geometry;G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize",421575222,18917,2048
"all;g4run;libG4geometry;G4Navigator::ComputeStep",7459326068,308288,26339
"all;g4run;libG4geometry;G4LogicalSkinSurface::DumpInfo",1819538209,70113,10305
"all;g4run;libG4geometry;0x0000000000187094",2095460,0,0
"all;g4run;libG4geometry;G4CutTubs::SurfaceNormal",21629035,659,182
"all;g4run;libG4geometry;G4FieldTrack::G4FieldTrack",275730214,8724,638
"all;g4run;libG4geometry;G4VoxelNavigation::LevelLocate",484355123,26710,2078
"all;g4run;libG4geometry;G4VoxelSafety::SafetyForVoxelHeader",2125170565,70158,7351
"all;g4run;libG4geometry;G4ChordFinderDelegate<G4IntegrationDriver<G4MagIntegratorStepper> >::FindNextChord",219169622,5150,976
"all;g4run;libG4geometry;G4Mag_SpinEqRhs::EvaluateRhsGivenB",2094579,0,0
"all;g4run;libG4geometry;0x000000000016159b",3490272,0,0
"all;g4run;libG4geometry;0x00000000001fe9bf",1393775,0,0
"all;g4run;libG4geometry;0x00000000001925fe",2094535,0,0
"all;g4run;libG4geometry;_G4cerr_p@plt",21636126,1710,561
"all;g4run;libG4geometry;G4LogicalBorderSurface::DumpInfo",277787831,3435,930
"all;g4run;libG4geometry;0x00000000001c9e1e",698165,0,0
"all;g4run;libG4geometry;G4Box::CalculateExtent",4188470,1019,0
"all;g4run;libG4geometry;G4SubtractionSolid::DistanceToIn",2152611003,103841,8596
"all;g4run;libG4geometry;0x0000000000161e6e",4887165,1234,0
"all;g4run;libG4geometry;G4NormalNavigation::LevelLocate",179364456,25227,442
"all;g4run;libG4geometry;G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited",577994604,17311,2428
"all;g4run;libG4geometry;G4BrentLocator::EstimateIntersectionPoint",48842950,819,228
"all;g4run;libG4geometry;G4Tubs::ApproxSurfaceNormal",304312319,12065,1094
"all;g4run;libG4geometry;G4PolyhedraSide::GetPointOnFace",4398331682,160885,19206
"all;g4run;libG4geometry;G4NormalNavigation::~G4NormalNavigation",8375339,237,0
"all;g4run;libG4geometry;G4PolyconeSide::DistanceAway@plt",697688,0,0
"all;g4run;libG4geometry;atan2@plt",18146602,560,0
"all;g4run;libG4geometry;std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>",864132920,39576,2359
"all;g4run;libG4geometry;G4Box::CreatePolyhedron",698397,0,0
"all;g4run;libG4geometry;G4Box::GetExtent",1396579,713,42
"all;g4run;libG4geometry;G4PolyhedronEllipsoid::G4PolyhedronEllipsoid@plt",1396785,0,0
"all;g4run;libG4geometry;0x00000000001a315d",1395207,0,0
"all;g4run;libG4geometry;0x0000000000207b08",2086561,0,0
"all;g4run;libG4geometry;G4GeomTestVolume::TestRecursiveOverlap@plt",6975390,266,0
"all;g4run;libG4geometry;G4ParameterisedNavigation::LevelLocate",796893324,27051,3282
"all;g4run;libG4geometry;G4ParameterisationTrdY::G4ParameterisationTrdY@plt",4187565,0,24
"all;g4run;libG4geometry;G4Navigator::ComputeStepLog",34889778,96,52
"all;g4run;libG4geometry;__cxa_atexit@plt",119360741,3639,543
"all;g4run;libG4geometry;G4PVParameterised::CheckOverlaps",499169590,15350,1969
"all;g4run;libG4geometry;G4DisplacedSolid::CreatePolyhedron",1646602668,44254,9880
"all;g4run;libG4geometry;0x00000000000eac5d",17452610,741,144
"all;g4run;libG4geometry;0x00000000001fea09",41182517,1695,0
"all;g4run;libG4geometry;0x0000000000270bad",42559676,768,230
"all;g4run;libG4geometry;G4Navigator::GetGlobalExitNormal",66312051,3105,441
"all;g4run;libG4geometry;G4LogicalSkinSurface::CleanSurfaceTable",73986970,2874,224
"all;g4run;libG4geometry;G4PolyhedraSide::SurfaceTriangle",126351486,1971,927
"all;g4run;libG4geometry;G4MultiNavigator::ComputeSafety",2793362,0,0
"all;g4run;libG4geometry;0x00000000000e516c",25124688,381,81
"all;g4run;libG4geometry;G4MagneticField::operator=",166109948,9077,815
"all;g4run;libG4geometry;G4PolyhedraSide::G4PolyhedraSide",36394214919,1228464,161940
