cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys,comm,dso,symbol
1345922533,1945954409,661319447,29137287,271049148,6248331,"g4run","libG4geometry.so","G4Navigator::ComputeSafety"
1345415272,1813506782,712752686,29925258,267566265,8791247,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_insert_aux"
1330807131,1998594540,693778209,27778949,378817676,6359697,"g4run","libG4processes.so","G4ScoreSplittingProcess::AlongStepDoIt"
1322855827,1634105320,716611163,31980168,142656072,11534110,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::LoadData"
1315854680,1843748308,675789068,28690249,358724284,6208420,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
1266949943,2156074333,637350668,40740413,114566484,2988679,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
1263937837,2268313066,666540630,19155332,443381210,3610949,"g4run","libG4geometry.so","G4Box::DistanceToIn"
1257312345,1944040810,694244828,31133977,328570957,5091373,"g4run","libG4geometry.so","G4Tubs::SurfaceNormal"
1248270910,1914086022,752234653,132991059,179699118,6447791,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
1244756220,1794803719,596037003,74397338,115559399,6909165,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
1229458862,1809553868,739588993,31753440,338505890,8427775,"g4run","libG4processes.so","G4PairProductionRelModel::InitialiseElementData"
1214805079,1713316696,619889532,35125741,288051868,6566891,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
1199446238,1876953095,615370882,30632576,174690269,8715279,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
1188269991,1809400113,582758973,22400382,181303084,4910324,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
1180680399,1845098975,590492338,45776824,72081489,1902744,"g4run","libG4processes.so","G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist"
1180586776,1872343608,570135240,20826389,226896852,4411502,"g4run","libm.so.6","__atan2"
1164503926,1672886805,636402380,83455185,218425837,7413522,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
1155628088,1711041558,622291157,18234196,294771613,7118940,"g4run","libG4geometry.so","G4LogicalSurface::G4LogicalSurface"
1149809468,1709554037,590448073,44151500,128619126,10577390,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
1147079297,1849907139,551347333,20181047,252930726,14715146,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
1143685778,1452457686,623820658,26879958,122207483,9166479,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
1140478493,1913345023,609142584,12514534,371738424,6511313,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
1136345342,1651154309,575775504,27011786,135913252,9767267,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
1113697904,1766392491,517128256,20277209,156511038,2369580,"g4run","libG4geometry.so","G4PolyhedraSide::Distance"
1111412089,1553884278,579914483,12851107,259036715,8118733,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
1097615669,1937916514,573480550,65320297,149264936,5951419,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
1074013033,1522878309,545127231,15077360,194802961,4476189,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
1069787294,1559789343,610426423,62757802,159492581,3755496,"g4run","libG4processes.so","G4IntraNucleiCascader::rescatter"
1062513055,1559885136,539663936,23759988,157013641,4196165,"g4run","libG4geometry.so","G4ParameterisedNavigation::LevelLocate"
1054015653,1370487328,536818614,21944787,172428466,5071589,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::AlongStepGetPhysicalInteractionLength"
1050234119,1695259478,529492819,22825648,219073306,3639921,"g4run","libG4geometry.so","G4TwistedTubs::BoundingLimits"
1029537107,1407713457,552853771,92302208,103855746,6148140,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
1023094918,1545046240,517640649,48256651,113007144,8513859,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
1018523743,1484649715,498418784,18945350,114009971,13604236,"g4run","libG4geometry.so","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
1015219701,1554007902,531499202,21726849,288185257,4635017,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
1000608292,1412437611,487846117,21457158,189858444,8342616,"g4run","libG4track.so","G4Track::G4Track"
995759800,1560426575,578314666,26273773,329534276,3673012,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
991554100,1387596914,533011371,29950691,133558999,28483976,"g4run","libG4particles.so","0x000000000006f80c"
984109558,1487194380,481369562,21187725,279857286,4173075,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
