cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far,comm,dso,symbol
845016675,283939372,3411958,186445144,2094865,12722,"g4run","libG4geometry.so","G4PolyhedraSide::Inside"
838827322,209407741,1881592,140504031,1214457,13273,"g4run","libG4geometry.so","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
836777354,199528302,2639600,133039571,1677458,12723,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
835816221,151052437,2386494,102811915,1489721,10919,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
794653918,153038480,1184526,99412287,796391,10715,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
791846675,203952518,1846846,120642900,1085435,10999,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
789725928,217309813,1467036,131780268,1005119,10375,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetQ2_2"
781055343,196440441,2486500,112598077,1554717,11500,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
780741395,177071044,2436172,112722139,1560735,11803,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
762555842,209045281,2075018,134873000,1515692,11504,"g4run","libG4processes.so","G4LightTargetCollider::AbsorptionOnDeuteron"
759105128,187797278,1860483,121842316,1039031,10990,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
756888008,192660580,2949929,137105835,1782446,12564,"g4run","libstdc++.so.6.0.30","__dynamic_cast"
747833575,184983508,2791005,111171033,1898841,12848,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
742274902,222305970,1991926,136487060,1337960,11948,"g4run","libG4processes.so","G4Radioactivation::DecayIt"
738791030,165177099,2047836,106437600,1189265,10626,"g4run","libG4geometry.so","G4BooleanSolid::StackPolyhedron"
730487146,164208302,2302669,92129481,1374894,10530,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
715787867,193065724,2185170,126921871,1285530,11063,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
714516191,159893314,2220190,106896747,1421513,10378,"g4run","libG4geometry.so","field_utils::relativeError2"
712282326,168722062,1622084,112408064,1067808,10126,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
703842856,171194265,775368,102341431,548876,8530,"g4run","libm.so.6","__ieee754_pow_fma"
695079739,168796439,1862220,108201849,1090863,11049,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
692080840,158673970,1649237,100252967,1095170,11009,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
687231582,186084099,1571313,119978708,1073431,11308,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
685177477,141519915,1178688,85114420,765180,10515,"g4run","libG4track.so","G4VParticleChange::CheckIt"
683075926,128081752,1406589,84075575,954615,10581,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
673232751,195474214,2944047,138082091,1960447,11364,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonalie"
669074472,167916510,2270750,105848283,1357168,11286,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
659655563,160781747,1553593,112555027,932347,9121,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
652590922,151000400,1910709,115398126,1106777,10292,"g4run","libG4processes.so","G4ParallelWorldProcess::~G4ParallelWorldProcess"
643917447,163812778,1673037,95179619,980840,12101,"g4run","libG4tracking.so","0x000000000002f809"
633447559,143854780,1723737,91780659,1033779,8842,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
632227948,143788982,1810334,96019152,1141616,9638,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
632178024,172707412,1817877,110392554,1175737,8969,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::_M_realloc_insert<G4InuclElementaryParticle>"
629375507,152903486,2081296,101280315,1196909,10008,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
615242505,146856776,2056077,94549712,1302428,10401,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
608387144,127185514,1886090,83466112,1093207,9717,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
607284684,147815817,1490565,92366252,951409,9558,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
605592025,163743096,1345389,103261015,842031,7841,"g4run","libG4processes.so","G4MultiBodyMomentumDist::~G4MultiBodyMomentumDist"
603728284,111752237,2231334,81781262,1272798,8110,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
593714303,153828714,1403504,91361812,922702,7990,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
593191015,134068330,1261734,84746094,816235,8058,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
590754788,133301310,2672100,84098628,1802358,9145,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
580468663,131782435,1621279,83410633,990357,8913,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
568590413,152628001,1125356,97049951,816639,8021,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
565022146,143012115,1292525,84308382,815589,7900,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetExchangeT"
563568934,155335536,1548927,99758380,996856,8242,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
560327470,133775663,1960999,85045090,1182649,9231,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
559441445,142372898,1900976,88435818,1132198,9519,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
556725340,156012205,1703836,93941201,995811,7496,"g4run","libG4processes.so","G4LorentzConvertor::rotate"
552579857,136570047,1221125,87412148,748585,7731,"g4run","libG4processes.so","G4ProductionCutsTable::StoreCutsInfo"
535581080,141166881,922348,94695750,632515,7908,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
532248072,141368350,1335205,89463345,883131,8057,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
527224910,117743573,1424655,78888658,966314,6828,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
525694206,148151035,2158813,89605220,1439623,8394,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
523213687,140992185,1271629,88016899,791935,8115,"g4run","libm.so.6","__ieee754_log_fma"
522482169,121277777,1265009,70105113,703143,6641,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
520881079,126594767,998989,78905872,529033,6740,"g4run","g4run","ffunkti"
519474895,131447309,1538372,82648123,1007316,8618,"g4run","libG4track.so","G4Step::GetDeltaEnergy"
514128994,140071473,1664491,90276924,1047961,8536,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
509303087,127911335,2073247,83552865,1286540,8058,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
506107705,107609114,1142376,68090543,707252,6917,"g4run","libG4geometry.so","G4FSALBogackiShampine45::Stepper"
505764777,130459417,1505362,77450326,952893,8170,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
504375623,121516831,1056327,80547320,590306,7146,"g4run","libG4track.so","G4ParticleChange::DumpInfo"
503943358,119991564,1027536,78679699,660119,7057,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
497102892,83466326,2598662,62706575,1421607,8166,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
492678277,125338836,1429810,85024324,1129333,7926,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
492561879,131776564,1590659,90771813,1041877,7214,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonal"
491729335,115954059,1833648,74555159,1057649,8804,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4FastList<G4Track>*>, std::_Select1st<std::pair<int const, G4FastList<G4Track>*> >, std::less<int>, std::allocator<std::pair<int const, G4FastList<G4Track>*> > >::_M_erase"
