cycles,ex_div_busy,ex_div_count,comm,dso,symbol
187774097,5324,682,"g4run","libG4track.so","G4Track::SetAuxiliaryTrackInformation"
187042093,12262,1231,"g4run","libG4processes.so","G4InuclNuclei::makeNuclearFragment"
183576680,4797,1223,"g4run","libG4processes.so","G4SBBremTable::LoadSamplingTables"
182188791,3560,616,"g4run","libG4processes.so","G4ProductionCutsTable::CheckMaterialCutsCoupleInfo"
182181174,5261,860,"g4run","libG4processes.so","G4RKPropagation::GetSphereIntersectionTimes"
182019977,3643,589,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom"
181490252,14443,2726,"g4run","libc.so.6","getenv"
180085002,4225,969,"g4run","libG4track.so","G4ParticleChangeForMSC::Initialize"
179389602,7799,560,"g4run","libG4processes.so","G4LightTargetCollider::SingleNucleonScattering"
179386585,4402,1292,"g4run","libc.so.6","__memmove_avx_unaligned"
179364456,25227,442,"g4run","libG4geometry.so","G4NormalNavigation::LevelLocate"
175890647,6032,1156,"g4run","libG4processes.so","G4RKPropagation::delete_EquationsAndMap"
173793793,3255,327,"g4run","libG4track.so","G4Step::G4Step"
173078398,7070,727,"g4run","libG4processes.so","std::_Rb_tree<G4String, std::pair<G4String const, bool>, std::_Select1st<std::pair<G4String const, bool> >, std::less<G4String>, std::allocator<std::pair<G4String const, bool> > >::_M_erase"
173073662,7588,761,"g4run","libG4processes.so","G4HadronicParameters::SetXSFactorHadronInelastic"
172419958,4747,951,"g4run","libG4geometry.so","0x00000000001f850a"
168940538,4456,827,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeDXSectionPerAtom"
168872455,5961,405,"g4run","libG4processes.so","G4NeutronElasticXS::BuildPhysicsTable"
168226191,4515,790,"g4run","libG4particles.so","0x000000000008131f"
167529027,16497,799,"g4run","libG4particles.so","G4DynamicParticle::SetDefinition"
166109948,9077,815,"g4run","libG4geometry.so","G4MagneticField::operator="
165439841,6086,1132,"g4run","libm.so.6","__sin_fma"
