cycles_ukP,comm,dso,symbol
709426044,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
699681827,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
695481643,"g4run","libG4processes.so","G4ProductionCutsTable::StoreCutsInfo"
693943170,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetExchangeT"
687100318,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
666173594,"g4run","libG4processes.so","G4NucleiModel::~G4NucleiModel"
661347813,"g4run","libG4processes.so","std::vector<bool, std::allocator<bool> >::_M_fill_insert"
654973783,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscVU"
652446314,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
649398881,"g4run","libG4track.so","G4ParticleChange::DumpInfo"
641011767,"g4run","libG4geometry.so","G4Paraboloid::G4Paraboloid"
639781645,"g4run","libG4processes.so","std::vector<G4String, std::allocator<G4String> >::emplace_back<char const*&>"
630531072,"g4run","libG4processes.so","G4CascadeInterface::Propagate"
627750083,"g4run","libc.so.6","__strcmp_avx2"
617971711,"g4run","libm.so.6","__ieee754_log_fma"
617299804,"g4run","libm.so.6","__ieee754_pow_fma"
597035125,"g4run","libG4processes.so","G4NeutronInelasticXS::Initialise"
594412733,"g4run","libG4processes.so","G4IntraNucleiCascader::copySecondaries"
584451955,"g4run","libG4processes.so","G4MultiBodyMomentumDist::G4MultiBodyMomentumDist"
580442827,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::InitializeSamplingAlgorithm"
579613078,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep"
564924474,"g4run","libG4geometry.so","G4NormalNavigation::ComputeStep"
564896292,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
548851148,"g4run","libG4processes.so","std::vector<G4PairProductionRelModel::ElementData*, std::allocator<G4PairProductionRelModel::ElementData*> >::_M_fill_insert"
548145185,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize"
544165597,"g4run","libG4geometry.so","G4Paraboloid::StreamInfo"
540008328,"g4run","libG4track.so","G4Track::G4Track"
538767702,"g4run","libG4processes.so","G4CacheReference<G4MultiBodyMomentumDist*>::Destroy"
536851158,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange"
527923520,"g4run","libG4processes.so","G4NucleiModel::G4NucleiModel"
524413351,"g4run","libG4tracking.so","0x000000000002f809"
523280249,"g4run","libG4geometry.so","std::vector<G4FieldManager*, std::allocator<G4FieldManager*> >::_M_realloc_insert<G4FieldManager* const&>"
518825754,"g4run","libG4geometry.so","G4PolyPhiFace::Intersect"
513899778,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
509853433,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
507333427,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4FastList<G4Track>*>, std::_Select1st<std::pair<int const, G4FastList<G4Track>*> >, std::less<int>, std::allocator<std::pair<int const, G4FastList<G4Track>*> > >::_M_erase"
500993037,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
498137091,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getMultiplicity"
496900511,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
493679982,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
489369499,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
476906881,"g4run","libG4processes.so","G4InuclNuclei::setExitationEnergy"
473536015,"g4run","libm.so.6","__ieee754_acos_fma"
471347961,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
469934568,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
469932625,"g4run","libG4processes.so","G4CascadeFinalStateAlgorithm::GenerateCosTheta"
462474549,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
460161559,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
458341387,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
446912173,"g4run","libG4processes.so","G4EquilibriumEvaporator::deExcite"
443421817,"g4run","libG4processes.so","G4NucleiModel::printModel"
442010378,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
441416277,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
440608682,"g4run","libG4processes.so","G4IntraNucleiCascader::finalize"
438509487,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
437810030,"g4run","libG4geometry.so","G4Paraboloid::SurfaceNormal"
437117000,"g4run","libG4geometry.so","G4MagneticField::~G4MagneticField"
436637275,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
428044192,"g4run","libG4processes.so","G4CascadeRecoilMaker::G4CascadeRecoilMaker"
427355600,"g4run","libG4geometry.so","G4PolyPhiFace::EarInit"
424874170,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
422467881,"g4run","libG4geometry.so","G4DisplacedSolid::BoundingLimits"
421761415,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
420305665,"g4run","libG4track.so","G4VParticleChange::CheckIt"
419663882,"g4run","libG4particles.so","G4NuclideTable::GetIsotope"
417571913,"g4run","libG4geometry.so","G4Trap::SurfaceNormal"
415466090,"g4run","libG4track.so","G4Step::GetDeltaEnergy"
414163893,"g4run","libG4processes.so","G4CascadeDeexciteBase::G4CascadeDeexciteBase"
413390632,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
401683966,"g4run","libG4particles.so","G4IonTable::FindIon"
397310971,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
392705149,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
392419578,"g4run","libG4processes.so","G4IntraNucleiCascader::initialize"
391858927,"g4run","libG4processes.so","G4CascadeInterface::ApplyYourself"
388949225,"g4run","libG4processes.so","G4RKPropagation::GetSphereIntersectionTimes"
388846068,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
387550999,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
385456245,"g4run","libG4processes.so","G4PairProductionRelModel::InitialiseElementData"
384817352,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
384738054,"g4run","libG4tracking.so","0x000000000002f81c"
384560379,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
378483544,"g4run","libG4geometry.so","field_utils::relativeError2"
372874896,"g4run","libG4geometry.so","G4ReflectionFactory::ReflectPVDivision"
370784183,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::printXsec"
363104119,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::SetParallelWorld"
361010263,"g4run","libG4geometry.so","aNavigHistoryAllocator"
356810100,"g4run","libG4particles.so","G4AntiNeutrinoTau::Definition"
354029160,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
343547004,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::CrossSectionDescription"
340753732,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
340055680,"g4run","libG4processes.so","G4CascadeDeexciteBase::makeFragment"
333769456,"g4run","libG4processes.so","G4InuclElementaryParticle::makeDefinition"
332489378,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeGamPChannelData, G4PionNucSampler>::getMultiplicity"
330980125,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
328202459,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
325395368,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
324688472,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
322602326,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
321905634,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
319743811,"g4run","libG4processes.so","G4IntraNucleiCascader::createTarget"
319097107,"g4run","libG4particles.so","G4IonTable::FindIon"
316333575,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
314932524,"g4run","libG4tracking.so","G4Step::InitializeStep"
310087046,"g4run","libG4processes.so","G4ElementaryParticleCollider::collide"
306746572,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
306524380,"g4run","libG4geometry.so","G4LogicalBorderSurface::DumpInfo"
305845112,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
305157130,"g4run","libG4geometry.so","G4PolyhedraSide::SurfaceTriangle"
303045491,"g4run","libG4processes.so","G4CollisionOutput::operator="
302512453,"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::ManyBodyDecayIt"
