id,cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",48842879,14108371,277434,7797724,164219,915
"all;g4run;libstdc++;operator delete[]",0,0,0,0,1259,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",0,0,17127,215453,7939,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",698381,181442,6310,102270,1162,19
"all;g4run;libstdc++;operator delete",7679042,1509088,95676,1370636,56044,212
"all;g4run;libG4event",,,,,,
"all;g4run;libG4event;G4EventManager::StackTracks@plt",1396673,0,5552,0,0,20
"all;g4run;libG4event;G4StackManager::GetNUrgentTrack",474920327,90943062,475928,57838742,323520,7026
"all;g4run;libG4event;G4EventManager::DoProcessing",1231751528,227116884,1658351,150600202,1065716,16589
"all;g4run;libG4event;G4StackManager::DefaultClassification@plt",695524,485812,5211,103701,6355,37
"all;g4run;libG4event;G4StackManager::PushOneTrack",683001067,133267823,2571578,94102801,1704329,12050
"all;g4run;libG4event;G4TrackingManager::ProcessOneTrack@plt",698368,0,0,0,0,0
"all;g4run;libG4event;G4StackManager::PopNextTrack@plt",0,157923,3389,103854,1071,0
"all;g4run;libG4event;aTrackAllocator@plt",1393762,161745,1854,0,0,0
"all;g4run;libG4event;G4StackManager::DefaultClassification",25818579,4812559,93809,2391594,69353,429
"all;g4run;libG4event;G4StackManager::PopNextTrack",432040283,90793850,835022,58673110,528041,7112
"all;g4run;libG4event;G4StackManager::PushOneTrack@plt",0,146934,1815,0,2292,20
"all;g4run;libG4event;G4ParticleDefinition::GetTrackingManager@plt",0,158404,0,315070,0,39
"all;g4run;libG4event;G4Track::~G4Track@plt",0,207147,0,0,0,21
"all;g4run;libG4event;G4StackManager::GetNUrgentTrack@plt",16046613,4182989,71196,1633242,37348,175
"all;g4run;libG4event;G4EventManager::StackTracks",358629340,71119301,1029924,44181911,717222,6434
"all;g4run;libG4vis_management",,,,,,
"all;g4run;libG4vis_management;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",0,0,0,92470,8810,19
"all;g4run;libG4track",,,,,,
"all;g4run;libG4track;__tls_get_addr@plt",16051528,3844163,61549,1220482,38826,215
"all;g4run;libG4track;G4VParticleChange::UpdateStepInfo",17445260,4907932,94639,3361941,51910,459
"all;g4run;libG4track;G4Track::G4Track",357916997,86765783,1369485,54790528,854254,6430
"all;g4run;libG4track;G4ParticleChangeForTransport::UpdateStepForPostStep",739522389,171852608,1850755,110258451,1202785,12072
"all;g4run;libG4track;G4ParticleChange::UpdateStepForAtRest",0,0,0,0,0,19
"all;g4run;libG4track;G4ParticleChangeForDecay::Initialize",698558,0,7707,0,7247,0
"all;g4run;libG4track;aTrackAllocator",201626674,42705606,786215,24848922,467175,3478
"all;g4run;libG4track;G4ParticleChangeForGamma::UpdateStepForPostStep",399930428,87460579,1364054,56293462,862051,5863
"all;g4run;libG4track;G4Track::~G4Track",789112643,160431919,1269642,99955734,834496,11928
"all;g4run;libG4track;G4VParticleChange::AddSecondary@plt",1396884,0,2301,252820,3861,0
"all;g4run;libG4track;G4ParticleChangeForDecay::UpdateStepForPostStep",0,0,0,0,0,20
"all;g4run;libG4track;G4ParticleChange::Initialize",200922757,59838792,490979,39210298,301716,2669
