id,cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys
"all;g4run;libG4physicslists;G4PrecoProtonBuilder::G4PrecoProtonBuilder",1395758,989185,0,75640,0,0
"all;g4run;libG4global",,,,,,
"all;g4run;libG4global;G4SimpleIntegration::MidPoint",0,0,0,0,295494,0
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNewEstimate",0,967342,0,0,0,0
"all;g4run;libG4global;G4JTPolynomialSolver::Quadratic",697959,1401639,0,41882,0,31885
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistentFallback<0>@plt",1395012,0,387955,23653,0,31550
"all;g4run;libG4global;G4PhysicsVector::Store@plt",3482633,5402988,1894099,217046,2231058,0
"all;g4run;libG4global;0x0000000000054995",6981290,6990918,4773989,99883,886958,57821
"all;g4run;libG4global;G4ProfilerConfig<4ul>::GetPersistent<1>@plt",43948907,73888542,25364490,837452,12361027,292391
"all;g4run;libG4global;G4PhysicsVector::Retrieve",644732655,796447819,318579683,12829004,87262838,6354938
"all;g4run;libG4global;0x00000000000564c8",7668731,8558759,3450300,179326,2397600,66113
"all;g4run;libG4global;0x0000000000054997",23730452,21076819,6553129,338451,2991293,209009
"all;g4run;libG4global;G4Physics2DVector::Retrieve",69074645,113956080,25959829,1765923,20999217,810313
"all;g4run;libG4global;G4SimpleIntegration::Trapezoidal",0,0,0,41007,0,0
"all;g4run;libG4global;G4coutDestination::ReceiveG4cerr_",695910,0,365168,81183,0,125371
"all;g4run;libG4global;strlen@plt",698722,0,377302,24337,118041,19335
"all;g4run;libG4global;G4Physics2DVector::CopyData",349542223,371840057,169212070,6013837,48060156,4231424
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeFixedShiftPolynomial",0,0,775546,30096,0,12784
"all;g4run;libG4global;std::_Vector_base<std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> >*> >::~_Vector_base@plt",0,0,0,0,0,17249
"all;g4run;libG4global;0x00000000000564cc",698415,3267904,1468044,72716,573886,45298
"all;g4run;libG4global;G4PhysicsLogVector::G4PhysicsLogVector",4886182,6605324,3301248,502509,590266,295826
"all;g4run;libG4global;G4JTPolynomialSolver::QuadraticPolynomialIteration",0,0,396582,48482,171588,5661
"all;g4run;libG4global;G4Pow::G4Pow",114424639,139260471,60022376,5622915,14603937,5253111
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeScalarFactors",695589,0,0,22776,0,4904
"all;g4run;libG4global;0x00000000000564ce",9767306,16185211,3857314,173692,7552758,10405
"all;g4run;libG4global;G4Physics2DVector::PutVectors",184263808,258134632,108333144,5667163,65041383,3523503
"all;g4run;libG4global;G4SimpleIntegration::G4SimpleIntegration",696158,0,420023,0,0,0
"all;g4run;libG4global;G4PhysicsModelCatalog::Initialize",14659641,9724580,8115244,1051378,106846,756370
"all;g4run;libG4global;0x000000000005499e",30699634,32122988,15714139,474981,3345066,278902
"all;g4run;libG4global;G4JTPolynomialSolver::ComputeNextPolynomial",0,0,0,0,0,5425
"all;g4run;libG4global;std::vector<double, std::allocator<double> >::_M_fill_assign",0,0,388990,30347,0,0
