instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,comm,dso,symbol
11725690470,7354656906,250390718,16285576,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone2"
11712550069,7167145096,871465939,97077717,"g4run","libG4processes.so","G4Transportation::StartTracking"
11518516829,6947533538,620320001,19421425,"g4run","libG4geometry.so","G4VoxelNavigation::ComputeVoxelSafety"
11412677211,7117181548,301541533,38601572,"g4run","libG4processes.so","G4UrbanMscModel::SampleScattering"
11376879940,6284836125,97748374,74328488,"g4run","libG4processes.so","G4LorentzConvertor::getKinEnergyInTheTRS"
11313626232,6537394500,557981118,24506479,"g4run","libG4geometry.so","G4Polyhedra::Inside"
11246156366,8377076702,940544692,86748925,"g4run","libG4geometry.so","G4PropagatorInField::ClearPropagatorState"
11156089406,6677795250,279364243,86810009,"g4run","libG4particles.so","G4DynamicParticle::~G4DynamicParticle"
11068238047,7257302880,442821059,41284130,"g4run","libG4processes.so","G4WentzelOKandVIxSection::ComputeTransportCrossSectionPerAtom"
10968428458,7913849538,702823651,102373376,"g4run","libG4event.so","G4StackManager::PopNextTrack"
10910721576,5027498276,485383533,84212222,"g4run","libG4processes.so","G4ChipsNeutronElasticXS::CalculateCrossSection"
10864063595,6841440667,826899568,92317440,"g4run","libG4geometry.so","G4FieldManagerStore::GetInstance"
10847240397,7121750106,853189163,66533374,"g4run","libG4processes.so","G4GammaNuclearXS::IsIsoApplicable"
10463016841,5639816748,75055875,44269974,"g4run","libG4processes.so","G4CascadParticle::getPathToTheNextZone"
10346643419,6109535951,257837877,10095051,"g4run","libG4geometry.so","G4VCSGfaceted::DistanceToIn"
10272686334,6037596481,208241654,43320909,"g4run","libG4processes.so","G4CollisionOutput::getTotalOutputMomentum"
10183661898,4182985094,286657826,144939,"g4run","libG4geometry.so","G4Region::BelongsTo"
10147561492,6538894633,515269400,61272267,"g4run","libG4processes.so","G4HadProjectile::InitialiseLocal"
10021095358,5451302776,367901367,70628118,"g4run","libG4processes.so","G4VEnergyLossProcess::StartTracking"
9982953510,6023662003,472284499,40361061,"g4run","libG4track.so","G4ParticleChangeForTransport::UpdateStepForPostStep"
9978691737,6201456106,1007377419,70207441,"g4run","libG4geometry.so","G4FieldManager::ConfigureForTrack"
9751790150,6107303605,284632976,63694211,"g4run","libG4track.so","G4Track::G4Track"
9703220107,5539103486,107141000,86462631,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
9671453559,5676161392,169770724,18427544,"g4run","libG4processes.so","G4VMscModel::GetRange"
9645672040,4981104962,281132182,24876728,"g4run","libm.so.6","__ieee754_exp_fma"
9473975922,6629031191,641425538,51665594,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::QuickAdvance"
9448713614,6244602711,113991710,61066654,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
9418788041,5436351227,211070639,116046529,"g4run","libG4clhep.so","CLHEP::HepLorentzVector::boostVector"
9319675562,4535026053,75107923,28022411,"g4run","libG4processes.so","G4EquilibriumEvaporator::deExcite"
9312782973,5815754557,570220904,13910781,"g4run","libG4geometry.so","G4Trap::DistanceToOut"
9262193581,5239124852,342243194,22602822,"g4run","libG4processes.so","G4PhysicsVector::Value"
9220041262,5215314596,346728202,49186401,"g4run","libG4processes.so","G4UrbanMscModel::StartTracking"
9179041875,5780867519,118062959,15596263,"g4run","libG4geometry.so","G4PolyconeSide::Normal"
9076573585,5788642159,521507773,57361399,"g4run","libG4clhep.so","CLHEP::MixMaxRng::modadd"
9054917985,5023676002,108735536,69735597,"g4run","libG4processes.so","G4InuclElementaryParticle::type"
8921888506,5118635343,479407381,7057369,"g4run","libG4processes.so","G4NeutronElasticXS::IsIsoApplicable"
8921210169,5019750277,160693140,85091038,"g4run","libG4processes.so","G4CascadeChannelTables::FindTable"
8880630044,5516616837,288235808,7307131,"g4run","libG4geometry.so","G4UnionSolid::Inside"
8849438685,4026121765,804319390,51461896,"g4run","libG4track.so","G4ParticleChange::UpdateStepForPostStep"
8829254215,4426676102,89027648,56386363,"g4run","libG4processes.so","G4ElementaryParticleCollider::collide"
8795007607,5202512655,908815684,69180030,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::GetEquationOfMotion"
8696201553,5601766622,723329360,46469833,"g4run","libG4processes.so","G4PhysicsVector::Value"
8578959272,5675838628,485208910,23910029,"g4run","libG4geometry.so","G4TouchableHistory::G4TouchableHistory"
8568625088,4801291516,121548312,55431600,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
8550858938,4978114312,407989173,154079477,"g4run","libG4processes.so","G4NeutronCaptureXS::GetIsoCrossSection"
8405361839,5272529320,214461138,29418145,"g4run","libG4processes.so","G4VMscModel::GetDEDX"
8363083943,5721279931,460298623,75664561,"g4run","libG4processes.so","G4VProcess::StartTracking"
8306727106,5311957866,686142965,28465114,"g4run","libG4processes.so","G4VEmModel::CrossSectionPerVolume"
8303336843,4975154174,397071680,14230523,"g4run","libG4geometry.so","G4Tubs::DistanceToIn"
8255476017,5150612129,270678648,14762145,"g4run","libG4geometry.so","G4Box::DistanceToIn"
8253223200,3991041134,66856331,57319793,"g4run","libG4processes.so","G4NucleiModel::boundaryTransition"
8165282658,4558209143,147811809,66211244,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
8160642718,5253226180,432364025,19063755,"g4run","libG4geometry.so","G4VPhysicalVolume::GetRotation"
8052659617,3885263749,120296892,100359753,"g4run","libG4processes.so","G4InuclSpecialFunctions::generateWithRandomAngles"
7993422262,4509408625,584159935,11672041,"g4run","libG4processes.so","G4NeutronInelasticXS::IsIsoApplicable"
7895480219,5297606589,65590282,82790340,"g4run","libG4processes.so","G4CascadeInterpolator<30>::getBin"
7876715682,4524599630,353914476,13370769,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelHeader"
7790000726,4704344702,233646682,52784358,"g4run","libG4track.so","G4ParticleChangeForGamma::UpdateStepForPostStep"
7787208409,3533218490,375447811,79665229,"g4run","libm.so.6","__ieee754_log_fma"
7660491239,5330234863,478138015,93268862,"g4run","libG4particles.so","G4ParticleDefinition::GetTrackingManager"
7651739570,3860193923,290369678,41904456,"g4run","libG4processes.so","G4NeutronKiller::PostStepGetPhysicalInteractionLength"
7628643827,4470406940,389069587,7838452,"g4run","libG4processes.so","G4NeutronElasticXS::IsElementApplicable"
7542927541,4378647688,188528119,54934632,"g4run","libG4processes.so","G4InuclElementaryParticle::makeDefinition"
7519947505,4442507706,363560020,14131582,"g4run","libG4processes.so","G4Decay::PostStepGetPhysicalInteractionLength"
7485621106,3954871597,178929395,97886,"g4run","libG4processes.so","G4ProductionCutsTable::ScanAndSetCouple"
7472276341,4218203886,92321586,43225283,"g4run","libc.so.6","__strcmp_avx2"
7439708118,3865136942,169696571,76499445,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetAtomicMass"
7403460889,4343312173,154116864,18800394,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTrueStepLength"
7369304269,4409251856,201077601,48615241,"g4run","libG4track.so","G4VParticleChange::AddSecondary"
7339859071,4624325008,439378931,56613896,"g4run","libG4tracking.so","G4TrackingManager::ProcessOneTrack"
7327498711,1971012254,17939371,10285469,"g4run","libG4processes.so","G4NucleiModel::zoneIntegralWoodsSaxon"
7325380563,4978092761,482479161,17400837,"g4run","libG4geometry.so","G4PVPlacement::GetRegularStructureId"
7308347628,4199022092,203706345,25108899,"g4run","libG4processes.so","G4WentzelVIModel::SampleScattering"
7272468336,4280982108,242075701,45497747,"g4run","libG4tracking.so","G4VSteppingVerbose::SetSilent"
7260984816,5540941531,385011624,54164150,"g4run","libG4processes.so","G4RayleighAngularGenerator::SampleDirection"
7249348974,3835915560,317764304,9574367,"g4run","libG4geometry.so","G4VoxelSafety::SafetyForVoxelNode"
