comm,dso,symbol,cycles,instructions,branches,branch_misses
"g4run","libG4processes.so","G4ConcreteMesonBaryonToResonance::InitialisePointers",994217,0,0,0
"g4run","libG4materials.so","0x0000000000017a84",992273,0,0,0
"g4run","libG4persistency.so","std::_Rb_tree<G4String, std::pair<G4String const, G4String>, std::_Select1st<std::pair<G4String const, G4String> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4String> > >::_M_get_insert_hint_unique_pos",991464,0,0,0
"g4run","libG4processes.so","std::vector<double, std::allocator<double> >::emplace_back<double>",990605,0,0,0
"g4run","libicuuc.so.70.1","0x00000000000d4664",988713,0,0,0
"g4run","libpythia8.so","Pythia8::SimpleSpaceShower::calcMEmax",988060,0,0,0
"g4run","libG4processes.so","0x00000000003b9b64",987319,0,0,0
"g4run","libc.so.6","__mpn_submul_1",987160,0,0,0
"g4run","libG4global.so","G4UnitDefinition::GetUnitsTable",985516,12108728,1324492,2348
"g4run","libicuuc.so.70.1","0x00000000000d4841",985007,0,0,0
"g4run","libpythia8.so","Pythia8::m2",979466,7884433,1107673,10826
"g4run","libG4processes.so","G4EmCorrections::InitialiseForNewRun",977080,2640178,80795,1815
"g4run","libG4processes.so","G4ConcreteNNToNNStar::G4ConcreteNNToNNStar",974933,0,0,0
"g4run","libG4processes.so","G4HadronicProcessStore::Register",960140,0,0,0
"g4run","libG4run.so","G4VUserPhysicsList::RemoveProcessManager",955591,1489942,0,0
"g4run","libG4processes.so","G4ProcessVector::~G4ProcessVector",955591,0,0,0
"g4run","libG4materials.so","G4Material::AddElementByMassFraction",955549,2020804,471210,0
"g4run","libG4processes.so","std::_Rb_tree<G4String, std::pair<G4String const, G4String>, std::_Select1st<std::pair<G4String const, G4String> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4String> > >::_M_erase",953778,0,0,0
"g4run","libG4geometry.so","G4CutTubs::G4CutTubs",949206,0,370110,0
"g4run","libG4persistency.so","std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<G4String>",943941,199087,0,0
"g4run","libstdc++.so.6.0.30","std::moneypunct<wchar_t, true>::_M_initialize_moneypunct",942002,0,0,0
